LECROYWR6100A,18120,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,11-Dec-2012 14:45:41,0                 
Time,Ampl
9.569e-006,-0.00269526
9.57e-006,-0.00249995
9.571e-006,-0.00259761
9.572e-006,-0.00251948
9.573e-006,-0.00246089
9.574e-006,-0.00254878
9.575e-006,-0.00253901
9.576e-006,-0.00245112
9.577e-006,-0.00254878
9.578e-006,-0.00251948
9.579e-006,-0.00232417
9.58e-006,-0.00246089
9.581e-006,-0.0026269
9.582e-006,-0.00266597
9.583e-006,-0.00246089
9.584e-006,-0.00249995
9.585e-006,-0.00250972
9.586e-006,-0.00230464
9.587e-006,-0.00244136
9.588e-006,-0.00249995
9.589e-006,-0.00251948
9.59e-006,-0.00252925
9.591e-006,-0.00258784
9.592e-006,-0.00258784
9.593e-006,-0.00263667
9.594e-006,-0.00243159
9.595e-006,-0.00233394
9.596e-006,-0.00256831
9.597e-006,-0.00247066
9.598e-006,-0.00260737
9.599e-006,-0.00249995
9.6e-006,-0.00260737
9.601e-006,-0.00235347
9.602e-006,-0.00261714
9.603e-006,-0.00247066
9.604e-006,-0.00238277
9.605e-006,-0.00257808
9.606e-006,-0.00249995
9.607e-006,-0.00244136
9.608e-006,-0.00249995
9.609e-006,-0.00253901
9.61e-006,-0.00244136
9.611e-006,-0.00257808
9.612e-006,-0.00247066
9.613e-006,-0.00245112
9.614e-006,-0.00260737
9.615e-006,-0.00255854
9.616e-006,-0.00246089
9.617e-006,-0.00259761
9.618e-006,-0.00246089
9.619e-006,-0.00235347
9.62e-006,-0.00254878
9.621e-006,-0.00252925
9.622e-006,-0.00246089
9.623e-006,-0.00250972
9.624e-006,-0.00251948
9.625e-006,-0.00248042
9.626e-006,-0.00259761
9.627e-006,-0.00244136
9.628e-006,-0.00257808
9.629e-006,-0.00248042
9.63e-006,-0.0026269
9.631e-006,-0.00254878
9.632e-006,-0.0026269
9.633e-006,-0.00247066
9.634e-006,-0.00251948
9.635e-006,-0.00255854
9.636e-006,-0.00258784
9.637e-006,-0.00245112
9.638e-006,-0.00246089
9.639e-006,-0.00249995
9.64e-006,-0.00254878
9.641e-006,-0.00243159
9.642e-006,-0.00243159
9.643e-006,-0.00246089
9.644e-006,-0.00253901
9.645e-006,-0.00259761
9.646e-006,-0.00266597
9.647e-006,-0.00254878
9.648e-006,-0.00248042
9.649e-006,-0.00245112
9.65e-006,-0.00252925
9.651e-006,-0.00249995
9.652e-006,-0.00259761
9.653e-006,-0.00263667
9.654e-006,-0.00254878
9.655e-006,-0.00244136
9.656e-006,-0.00246089
9.657e-006,-0.0026269
9.658e-006,-0.00241206
9.659e-006,-0.00256831
9.66e-006,-0.00251948
9.661e-006,-0.00248042
9.662e-006,-0.00263667
9.663e-006,-0.00260737
9.664e-006,-0.00252925
9.665e-006,-0.00249995
9.666e-006,-0.00256831
9.667e-006,-0.00248042
9.668e-006,-0.00257808
9.669e-006,-0.00254878
9.67e-006,-0.00257808
9.671e-006,-0.00246089
9.672e-006,-0.00255854
9.673e-006,-0.00248042
9.674e-006,-0.00246089
9.675e-006,-0.00249019
9.676e-006,-0.00252925
9.677e-006,-0.00243159
9.678e-006,-0.0026855
9.679e-006,-0.00249019
9.68e-006,-0.00249995
9.681e-006,-0.00249995
9.682e-006,-0.00244136
9.683e-006,-0.00239253
9.684e-006,-0.0026269
9.685e-006,-0.00244136
9.686e-006,-0.00253901
9.687e-006,-0.00249995
9.688e-006,-0.00256831
9.689e-006,-0.00258784
9.69e-006,-0.00250972
9.691e-006,-0.00252925
9.692e-006,-0.00273432
9.693e-006,-0.00246089
9.694e-006,-0.00249019
9.695e-006,-0.00252925
9.696e-006,-0.00256831
9.697e-006,-0.00255854
9.698e-006,-0.00243159
9.699e-006,-0.00239253
9.7e-006,-0.00253901
9.701e-006,-0.00232417
9.702e-006,-0.00249995
9.703e-006,-0.00255854
9.704e-006,-0.00243159
9.705e-006,-0.00259761
9.706e-006,-0.00258784
9.707e-006,-0.002373
9.708e-006,-0.00256831
9.709e-006,-0.00256831
9.71e-006,-0.00253901
9.711e-006,-0.00261714
9.712e-006,-0.00250972
9.713e-006,-0.00247066
9.714e-006,-0.00254878
9.715e-006,-0.0024023
9.716e-006,-0.00253901
9.717e-006,-0.00251948
9.718e-006,-0.00252925
9.719e-006,-0.00253901
9.72e-006,-0.00252925
9.721e-006,-0.00243159
9.722e-006,-0.00258784
9.723e-006,-0.00253901
9.724e-006,-0.00259761
9.725e-006,-0.00249995
9.726e-006,-0.00259761
9.727e-006,-0.00245112
9.728e-006,-0.00263667
9.729e-006,-0.00256831
9.73e-006,-0.00242183
9.731e-006,-0.00250972
9.732e-006,-0.00263667
9.733e-006,-0.00251948
9.734e-006,-0.00249995
9.735e-006,-0.00229488
9.736e-006,-0.00243159
9.737e-006,-0.00257808
9.738e-006,-0.0024023
9.739e-006,-0.00232417
9.74e-006,-0.00263667
9.741e-006,-0.00249995
9.742e-006,-0.00249995
9.743e-006,-0.00241206
9.744e-006,-0.00256831
9.745e-006,-0.00253901
9.746e-006,-0.00254878
9.747e-006,-0.00249995
9.748e-006,-0.00247066
9.749e-006,-0.00249995
9.75e-006,-0.00251948
9.751e-006,-0.00253901
9.752e-006,-0.00250972
9.753e-006,-0.00249019
9.754e-006,-0.00252925
9.755e-006,-0.00244136
9.756e-006,-0.00244136
9.757e-006,-0.00257808
9.758e-006,-0.0024023
9.759e-006,-0.00235347
9.76e-006,-0.00263667
9.761e-006,-0.00238277
9.762e-006,-0.00249995
9.763e-006,-0.00249019
9.764e-006,-0.00259761
9.765e-006,-0.00252925
9.766e-006,-0.00247066
9.767e-006,-0.0026855
9.768e-006,-0.00252925
9.769e-006,-0.0026269
9.77e-006,-0.00256831
9.771e-006,-0.00255854
9.772e-006,-0.00252925
9.773e-006,-0.00244136
9.774e-006,-0.00250972
9.775e-006,-0.00245112
9.776e-006,-0.00251948
9.777e-006,-0.00258784
9.778e-006,-0.00255854
9.779e-006,-0.00267573
9.78e-006,-0.00252925
9.781e-006,-0.00254878
9.782e-006,-0.00247066
9.783e-006,-0.00253901
9.784e-006,-0.0024023
9.785e-006,-0.00252925
9.786e-006,-0.00252925
9.787e-006,-0.00253901
9.788e-006,-0.00255854
9.789e-006,-0.00261714
9.79e-006,-0.00243159
9.791e-006,-0.00236324
9.792e-006,-0.00272456
9.793e-006,-0.00248042
9.794e-006,-0.00253901
9.795e-006,-0.00250972
9.796e-006,-0.00243159
9.797e-006,-0.00228511
9.798e-006,-0.00230464
9.799e-006,-0.00252925
9.8e-006,-0.00253901
9.801e-006,-0.00249995
9.802e-006,-0.00246089
9.803e-006,-0.00252925
9.804e-006,-0.0026562
9.805e-006,-0.00249019
9.806e-006,-0.0026269
9.807e-006,-0.00258784
9.808e-006,-0.00256831
9.809e-006,-0.00255854
9.81e-006,-0.00242183
9.811e-006,-0.00248042
9.812e-006,-0.00238277
9.813e-006,-0.00248042
9.814e-006,-0.00236324
9.815e-006,-0.00255854
9.816e-006,-0.00267573
9.817e-006,-0.00253901
9.818e-006,-0.00248042
9.819e-006,-0.00255854
9.82e-006,-0.00255854
9.821e-006,-0.00243159
9.822e-006,-0.00236324
9.823e-006,-0.00254878
9.824e-006,-0.00264643
9.825e-006,-0.00241206
9.826e-006,-0.00256831
9.827e-006,-0.0024023
9.828e-006,-0.00244136
9.829e-006,-0.00248042
9.83e-006,-0.00263667
9.831e-006,-0.00245112
9.832e-006,-0.00244136
9.833e-006,-0.00254878
9.834e-006,-0.0026562
9.835e-006,-0.00252925
9.836e-006,-0.00252925
9.837e-006,-0.00249995
9.838e-006,-0.00257808
9.839e-006,-0.00250972
9.84e-006,-0.00259761
9.841e-006,-0.00247066
9.842e-006,-0.00246089
9.843e-006,-0.00246089
9.844e-006,-0.00260737
9.845e-006,-0.0026562
9.846e-006,-0.00256831
9.847e-006,-0.00251948
9.848e-006,-0.0026562
9.849e-006,-0.00255854
9.85e-006,-0.00244136
9.851e-006,-0.00249019
9.852e-006,-0.00246089
9.853e-006,-0.00236324
9.854e-006,-0.0026269
9.855e-006,-0.00246089
9.856e-006,-0.00259761
9.857e-006,-0.00251948
9.858e-006,-0.00254878
9.859e-006,-0.00255854
9.86e-006,-0.00254878
9.861e-006,-0.00255854
9.862e-006,-0.00249019
9.863e-006,-0.00245112
9.864e-006,-0.00247066
9.865e-006,-0.00243159
9.866e-006,-0.00246089
9.867e-006,-0.00253901
9.868e-006,-0.00249019
9.869e-006,-0.00243159
9.87e-006,-0.00256831
9.871e-006,-0.00250972
9.872e-006,-0.00250972
9.873e-006,-0.00259761
9.874e-006,-0.00258784
9.875e-006,-0.00248042
9.876e-006,-0.0026269
9.877e-006,-0.00254878
9.878e-006,-0.00251948
9.879e-006,-0.00261714
9.88e-006,-0.00250972
9.881e-006,-0.00235347
9.882e-006,-0.00254878
9.883e-006,-0.00264643
9.884e-006,-0.00263667
9.885e-006,-0.00245112
9.886e-006,-0.00250972
9.887e-006,-0.00248042
9.888e-006,-0.00249019
9.889e-006,-0.00241206
9.89e-006,-0.00252925
9.891e-006,-0.00251948
9.892e-006,-0.00249995
9.893e-006,-0.00248042
9.894e-006,-0.00250972
9.895e-006,-0.00249019
9.896e-006,-0.00249019
9.897e-006,-0.00247066
9.898e-006,-0.00254878
9.899e-006,-0.00258784
9.9e-006,-0.00249019
9.901e-006,-0.00224605
9.902e-006,-0.00258784
9.903e-006,-0.00263667
9.904e-006,-0.00249019
9.905e-006,-0.00260737
9.906e-006,-0.00255854
9.907e-006,-0.00241206
9.908e-006,-0.00256831
9.909e-006,-0.00252925
9.91e-006,-0.00256831
9.911e-006,-0.00261714
9.912e-006,-0.00244136
9.913e-006,-0.00267573
9.914e-006,-0.0026562
9.915e-006,-0.00239253
9.916e-006,-0.00252925
9.917e-006,-0.00247066
9.918e-006,-0.00249019
9.919e-006,-0.00251948
9.92e-006,-0.002373
9.921e-006,-0.00244136
9.922e-006,-0.00253901
9.923e-006,-0.00244136
9.924e-006,-0.00249019
9.925e-006,-0.00247066
9.926e-006,-0.0026855
9.927e-006,-0.00248042
9.928e-006,-0.00260737
9.929e-006,-0.00255854
9.93e-006,-0.00252925
9.931e-006,-0.00242183
9.932e-006,-0.00261714
9.933e-006,-0.00250972
9.934e-006,-0.00247066
9.935e-006,-0.00254878
9.936e-006,-0.00250972
9.937e-006,-0.00243159
9.938e-006,-0.00264643
9.939e-006,-0.00250972
9.94e-006,-0.00247066
9.941e-006,-0.00251948
9.942e-006,-0.00252925
9.943e-006,-0.00257808
9.944e-006,-0.00260737
9.945e-006,-0.00248042
9.946e-006,-0.002373
9.947e-006,-0.00225582
9.948e-006,-0.00243159
9.949e-006,-0.00247066
9.95e-006,-0.00243159
9.951e-006,-0.00261714
9.952e-006,-0.00243159
9.953e-006,-0.00238277
9.954e-006,-0.00252925
9.955e-006,-0.00241206
9.956e-006,-0.00247066
9.957e-006,-0.00243159
