LECROYWR6100A,18120,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,11-Dec-2012 18:15:40,0                 
Time,Ampl
9.569e-006,-0.022679
9.57e-006,-0.0226147
9.571e-006,-0.0238997
9.572e-006,-0.0223577
9.573e-006,-0.0233857
9.574e-006,-0.0223577
9.575e-006,-0.0228717
9.576e-006,-0.0219723
9.577e-006,-0.0233214
9.578e-006,-0.0225505
9.579e-006,-0.0223577
9.58e-006,-0.0228075
9.581e-006,-0.0236427
9.582e-006,-0.0222935
9.583e-006,-0.0237069
9.584e-006,-0.0233214
9.585e-006,-0.0230645
9.586e-006,-0.0215225
9.587e-006,-0.023193
9.588e-006,-0.0220365
9.589e-006,-0.0230645
9.59e-006,-0.0225505
9.591e-006,-0.023193
9.592e-006,-0.0231287
9.593e-006,-0.021908
9.594e-006,-0.0232572
9.595e-006,-0.0227432
9.596e-006,-0.0235142
9.597e-006,-0.0222935
9.598e-006,-0.0232572
9.599e-006,-0.0234499
9.6e-006,-0.022679
9.601e-006,-0.0239639
9.602e-006,-0.023193
9.603e-006,-0.0226147
9.604e-006,-0.0226147
9.605e-006,-0.0227432
9.606e-006,-0.0222293
9.607e-006,-0.0234499
9.608e-006,-0.0230002
9.609e-006,-0.0221008
9.61e-006,-0.022165
9.611e-006,-0.0234499
9.612e-006,-0.0228717
9.613e-006,-0.0220365
9.614e-006,-0.0217153
9.615e-006,-0.0224862
9.616e-006,-0.022422
9.617e-006,-0.022679
9.618e-006,-0.0225505
9.619e-006,-0.022679
9.62e-006,-0.0233857
9.621e-006,-0.022165
9.622e-006,-0.0227432
9.623e-006,-0.0239639
9.624e-006,-0.022936
9.625e-006,-0.0228075
9.626e-006,-0.0233857
9.627e-006,-0.0221008
9.628e-006,-0.023193
9.629e-006,-0.0233214
9.63e-006,-0.0223577
9.631e-006,-0.022679
9.632e-006,-0.0226147
9.633e-006,-0.022936
9.634e-006,-0.022936
9.635e-006,-0.0238354
9.636e-006,-0.0232572
9.637e-006,-0.0220365
9.638e-006,-0.0230002
9.639e-006,-0.0231287
9.64e-006,-0.0226147
9.641e-006,-0.0230002
9.642e-006,-0.0235142
9.643e-006,-0.022165
9.644e-006,-0.022679
9.645e-006,-0.0226147
9.646e-006,-0.021908
9.647e-006,-0.0223577
9.648e-006,-0.0220365
9.649e-006,-0.0237069
9.65e-006,-0.0235784
9.651e-006,-0.0215868
9.652e-006,-0.0230645
9.653e-006,-0.0233857
9.654e-006,-0.0226147
9.655e-006,-0.0231287
9.656e-006,-0.0235142
9.657e-006,-0.0228717
9.658e-006,-0.0237712
9.659e-006,-0.0227432
9.66e-006,-0.0220365
9.661e-006,-0.0230645
9.662e-006,-0.0227432
9.663e-006,-0.0222293
9.664e-006,-0.0239639
9.665e-006,-0.0228075
9.666e-006,-0.022936
9.667e-006,-0.0233214
9.668e-006,-0.0224862
9.669e-006,-0.023193
9.67e-006,-0.0232572
9.671e-006,-0.0228075
9.672e-006,-0.023193
9.673e-006,-0.0219723
9.674e-006,-0.0232572
9.675e-006,-0.0226147
9.676e-006,-0.0223577
9.677e-006,-0.0239639
9.678e-006,-0.0228717
9.679e-006,-0.0234499
9.68e-006,-0.0230002
9.681e-006,-0.022679
9.682e-006,-0.0228075
9.683e-006,-0.0231287
9.684e-006,-0.0231287
9.685e-006,-0.0222293
9.686e-006,-0.022936
9.687e-006,-0.0224862
9.688e-006,-0.0223577
9.689e-006,-0.0233214
9.69e-006,-0.0228075
9.691e-006,-0.0227432
9.692e-006,-0.022936
9.693e-006,-0.0228717
9.694e-006,-0.0237712
9.695e-006,-0.0231287
9.696e-006,-0.0227432
9.697e-006,-0.0218438
9.698e-006,-0.0230002
9.699e-006,-0.0214583
9.7e-006,-0.0221008
9.701e-006,-0.0225505
9.702e-006,-0.023193
9.703e-006,-0.0222935
