Temperatures,310->211/300->201
1.000000000000000056e-01,4.801553196160253112e-01
1.000921550516793018e-01,1.491125863909053439e+00
1.001843950288941049e-01,1.493279992001974810e+00
1.002767200099075884e-01,1.494003059300876401e+00
1.003691300730550212e-01,1.494367299333577925e+00
1.004616252967439199e-01,1.494587892468504986e+00
1.005542057594540073e-01,1.494736670069878315e+00
1.006468715397373370e-01,1.494844444484906054e+00
1.007396227162183910e-01,1.494926632415755519e+00
1.008324593675940517e-01,1.494991804138419811e+00
1.009253815726337683e-01,1.495045105384660067e+00
1.010183894101795710e-01,1.495089813474820728e+00
1.011114829591461262e-01,1.495128115669540625e+00
1.012046622985208338e-01,1.495161528409084228e+00
1.012979275073638968e-01,1.495191136942647159e+00
1.013912786648083764e-01,1.495217739142671753e+00
1.014847158500602337e-01,1.495241935412935375e+00
1.015782391423984549e-01,1.495264186882447888e+00
1.016718486211750649e-01,1.495284854216479165e+00
1.017655443658152109e-01,1.495304224185203257e+00
1.018593264558172451e-01,1.495322528274945828e+00
1.019531949707527946e-01,1.495339955995113046e+00
1.020471499902668028e-01,1.495356664569448935e+00
1.021411915940775850e-01,1.495372786113147612e+00
1.022353198619769671e-01,1.495388433030421460e+00
1.023295348738302718e-01,1.495403702132248602e+00
1.024238367095764435e-01,1.495418677820483655e+00
1.025182254492280759e-01,1.495433434582181587e+00
1.026127011728715233e-01,1.495448038968539839e+00
1.027072639606669141e-01,1.495462551185047007e+00
1.028019138928482623e-01,1.495477026385939379e+00
1.028966510497235365e-01,1.495491515742401134e+00
1.029914755116746738e-01,1.495506067336924483e+00
1.030863873591577329e-01,1.495520726924002064e+00
1.031813866727028933e-01,1.495535538588290025e+00
1.032764735329145533e-01,1.495550545324858094e+00
1.033716480204713711e-01,1.495565789561248415e+00
1.034669102161263898e-01,1.495581313637516896e+00
1.035622602007070375e-01,1.495597160257843727e+00
1.036576980551152244e-01,1.495613372925425066e+00
1.037532238603274953e-01,1.495629996371125259e+00
1.038488376973949190e-01,1.495647076985556101e+00
1.039445396474433098e-01,1.495664663263893246e+00
1.040403297916732278e-01,1.495682806272728538e+00
1.041362082113600623e-01,1.495701560148599230e+00
1.042321749878541148e-01,1.495720982638520935e+00
1.043282302025806269e-01,1.495741135693920754e+00
1.044243739370399188e-01,1.495762086130837387e+00
1.045206062728073898e-01,1.495783906371217942e+00
1.046169272915336151e-01,1.495806675282662201e+00
1.047133370749444292e-01,1.495830479137211899e+00
1.048098357048409673e-01,1.495855412713865906e+00
1.049064232630997628e-01,1.495881580574719427e+00
1.050030998316727887e-01,1.495909098551226446e+00
1.050998654925875270e-01,1.495938095485487729e+00
1.051967203279471075e-01,1.495968715282252726e+00
1.052936644199302524e-01,1.496001119341133778e+00
1.053906978507914843e-01,1.496035489456500223e+00
1.054878207028610571e-01,1.496072031295834881e+00
1.055850330585451496e-01,1.496110978598095054e+00
1.056823350003258666e-01,1.496152598274239853e+00
1.057797266107613071e-01,1.496197196646476657e+00
1.058772079724856763e-01,1.496245127136128561e+00
1.059747791682093265e-01,1.496296799810074907e+00
1.060724402807188271e-01,1.496352693333619310e+00
1.061701913928770197e-01,1.496413370070139415e+00
1.062680325876231430e-01,1.496479495339888999e+00
1.063659639479728469e-01,1.496551862240339981e+00
1.064639855570182897e-01,1.496631423997933474e+00
