Temperatures,+-,Metastables,+-
3.491626844582302510e+03,1.429635977691241351e+03,7.420533372894981250e+14,1.145848001944643594e+14
4.120834489321371620e+03,1.834286921408908483e+03,7.869651172428487500e+14,1.307491878203802812e+14
4.489233338106698284e+03,1.801116348694566568e+03,8.674512303042948750e+14,1.296429801664288125e+14
4.470072016748744318e+03,1.712255486446327950e+03,9.045002223779377500e+14,1.290536692215473750e+14
5.516926612264345749e+03,2.390566125249814831e+03,9.649400214103617500e+14,1.564884448982465938e+14
8.406789787915578927e+03,5.180490048832427419e+03,1.110813570692319875e+15,2.669880973806191875e+14
1.203159322512334802e+04,1.094237120603632138e+04,1.283735767366051000e+15,4.782798271003565000e+14
1.641681403656111434e+04,2.002208859975538871e+04,1.450936452136018000e+15,7.548182609731793750e+14
1.435189724949656375e+04,1.621132577810009752e+04,1.339906992205657750e+15,6.350159584196737500e+14
1.207200128134625265e+04,1.148968460905640677e+04,1.290616573465580750e+15,5.034372845528907500e+14
1.001492091719236305e+04,7.643591910440295578e+03,1.228979813133988750e+15,3.746529285537193750e+14
9.020200611731816025e+03,6.015541801421800301e+03,1.193970980650100500e+15,3.134834300202630625e+14
1.112796021294409366e+04,9.528403878740966320e+03,1.268510956855095750e+15,4.402861468121175625e+14
1.173436926925839180e+04,1.089723608388713183e+04,1.201537618353669000e+15,4.555806512955039375e+14
1.100186965205912384e+04,8.729579706171727594e+03,1.162356058445770250e+15,3.732787681332939375e+14
1.793231136504392780e+05,2.311879397038591560e+05,1.423882755536904500e+15,8.058300060888275000e+14
9.885744575143941620e+04,8.853893327547326044e+04,1.735912195297705500e+15,7.129078003511727500e+14
2.089733879248614176e+04,3.201859821360779824e+04,1.335405193845796250e+15,8.955320448227656250e+14
1.586514565339956025e+05,2.938473067453193944e+05,1.397222584898481750e+15,1.252755656600348500e+15
1.356937217646538629e+05,7.526557665837663226e+05,1.487801021829556250e+15,4.272716169731266000e+15
1.341187607574742869e+05,8.692003571169242496e+05,1.558402849775115750e+15,5.234726755742548000e+15
1.468447089240050627e+04,1.642575707257161048e+04,1.204581541492407000e+15,5.668609015486483750e+14
1.172634182256826170e+04,1.099417055340345541e+04,1.104616470296262625e+15,4.228811291586763125e+14
9.336324128646865574e+03,6.377538037226476263e+03,1.014775604383691250e+15,2.742327009526197812e+14
7.166106511687275088e+03,3.815709718412423626e+03,9.227916298968745000e+14,1.880205729493900312e+14
7.239973511820800013e+03,3.826943043829714497e+03,9.050342133726312500e+14,1.832707642794481875e+14
8.745541087700561548e+03,6.195877647199654348e+03,9.319330603766778750e+14,2.589466028463131875e+14
1.733295154627447482e+04,2.450798476753653449e+04,1.208137747799989750e+15,7.333866008860110000e+14
6.355242089447979379e+04,3.398829661724143079e+04,1.956293199509869500e+15,1.869175741801589375e+14
6.757154039415245643e+04,3.208639150683449407e+04,2.054792069342596250e+15,1.926162081941055000e+14
6.763754510787353502e+04,3.247655019516985340e+04,2.139373763094406000e+15,2.031561933674340938e+14
5.478441596253223543e+04,2.886221560959739872e+04,2.249653672953632000e+15,2.598529885625237188e+14
8.235843452678766334e+04,4.122122533015038789e+04,2.187779094753215500e+15,3.705570117794206875e+14
9.119739304032352811e+04,6.165460288390148344e+04,2.027149946775693500e+15,5.644089391095537500e+14
1.211457837462276984e+04,1.128144838562979567e+04,1.179180169894583500e+15,4.502545341071059375e+14
8.204226831289111942e+03,5.931168885341655368e+03,9.625316799118040000e+14,2.706000820119095312e+14
6.923467296859901580e+03,4.463938958637454562e+03,8.654384394070142500e+14,2.127366299689189688e+14
5.757282622724362227e+03,3.155875900513703073e+03,7.923922191886452500e+14,1.630150229738207188e+14
5.694944396515317749e+03,3.028070446555248509e+03,7.746520328232691250e+14,1.544517749451612188e+14
7.845544966948883484e+03,5.562023986263294319e+03,8.619575774120385000e+14,2.363773733257441250e+14
1.185912259554847151e+04,1.231891877019181811e+04,1.042190169604580875e+15,4.426984237877635625e+14
1.567735731008908806e+04,2.088523653003405343e+04,1.202323460673725500e+15,6.794585314281472500e+14
1.491717863567782042e+05,4.076676143442150205e+05,1.474827677778295750e+15,2.019204132328944000e+15
1.643901842663512216e+05,3.087123782626668108e+05,1.406768641093163500e+15,1.252072524040670000e+15
1.355817318046841829e+05,8.858710407996007707e+05,1.586907339584273000e+15,5.365976270727176000e+15
1.313087149555917131e+05,1.224111652066795155e+06,1.621839689749473000e+15,7.862261913898409000e+15
1.279876670084362704e+05,1.015297991140544647e+06,1.640851317037135750e+15,6.778682558154384000e+15
1.029033231704876525e+05,1.095206155062995240e+05,1.860363944070618000e+15,9.446815384663068750e+14
1.148726316323286883e+05,2.222986033602743701e+05,1.713669209070430500e+15,1.694143109376919000e+15
8.545200762699205370e+04,4.626136869539714098e+04,1.965515937032353250e+15,3.899471308128358750e+14
1.779710767165253492e+04,2.101758914613567322e+04,1.352071002559065500e+15,6.876664754245451250e+14
5.832425224835296103e+04,2.561890640660292047e+04,2.117667430593183250e+15,1.770535342048746562e+14
4.253032184978337318e+04,3.378530299260962056e+04,1.965008532002015250e+15,5.573113061223248125e+14
6.001866078437973920e+04,2.849047234627498983e+04,2.126714855268885500e+15,1.836147628268036562e+14
5.673956388775450614e+04,2.813760942449571303e+04,2.177690669763302000e+15,2.176988656044965625e+14
6.469430811600595189e+04,2.889567826756440263e+04,2.166175995938106000e+15,1.759018161806151250e+14
1.079703518565057166e+05,1.405509271737995150e+05,1.852965297167868500e+15,1.194184132004279000e+15
9.696391845612208999e+04,8.002744726632852689e+04,1.976459052416363250e+15,7.314432329175258750e+14
1.307352331516040576e+05,1.102584337448852835e+06,1.692121151210636750e+15,7.424000830138822000e+15
1.346524299790749501e+05,9.004353254090035334e+05,1.684962738282415500e+15,5.838100729503978000e+15
1.343224464363318293e+04,1.433399065957164930e+04,1.238051040918895250e+15,5.494809403492526875e+14
1.104198966406143882e+04,1.070850286167532977e+04,1.125112955569677625e+15,4.417147118325960000e+14
1.105894068720459290e+04,9.812079920982023395e+03,1.141400367264531500e+15,4.100610219833802500e+14
9.417968815870386607e+03,7.464615064908353816e+03,1.076428262770149500e+15,3.378787219881083125e+14
9.930672327627882623e+03,8.102010683911574233e+03,1.080274562796537125e+15,3.515956997812913125e+14
7.747313570059528502e+03,4.987445483453666384e+03,9.629410375044460000e+14,2.393391127735905000e+14
6.569085622104380491e+03,3.652085319223233910e+03,8.749937620079737500e+14,1.844906383670998125e+14
1.016197546807513936e+04,9.375902173717253390e+03,9.724202768053067500e+14,3.590100555989593125e+14
1.517895005584577666e+04,2.202427632022622493e+04,1.098871337691789000e+15,6.736239764878122500e+14
1.324267867872991192e+05,1.356269508526184596e+06,1.444973408239003000e+15,7.685253151535024000e+15
1.307821943651832407e+05,1.557098755906342762e+06,1.366109302575766250e+15,8.456989799645626000e+15
