Temperatures,+-,Metastables,+-
4.737121873041693334e+02,2.811799577756304188e+03,-1.796844833118107812e+14,4.352354280612345000e+14
4.138309713439271036e+02,8.155172290391194110e+03,-4.918245218823373438e+13,3.942109350315721250e+14
2.504064990451545043e+02,1.068246590754081126e+03,-1.964444928051873125e+14,3.345901044203425625e+14
1.180782992114521619e+02,4.135778767562303528e+02,-1.919909928051206250e+14,2.589260907781336875e+14
6.887664974973320398e+01,3.835114188220204596e+02,-1.051094095217182031e+14,2.176687182291862188e+14
6.444604998287278477e+02,3.500732523127961031e+04,-1.771245246603282031e+13,3.961675343426462500e+14
1.046069994999452774e+03,7.657611330257883310e+03,-1.623453967724195000e+14,4.923687183845718750e+14
1.412762871653201728e+03,5.541353613619477983e+03,-3.446043334489663125e+14,5.571281375943410000e+14
1.806542030728827058e+03,5.529916067295888752e+03,-4.854929425692788750e+14,6.027079326396195000e+14
1.965025290164033549e+03,4.705646596107564619e+03,-6.278646024565922500e+14,6.048746056575940000e+14
2.663708253813370902e+03,6.154810578427835935e+03,-6.967643626861013750e+14,6.255108228394365000e+14
3.084687733202699292e+03,7.453645326766951257e+03,-7.348167053855425000e+14,6.788528252190567500e+14
1.656534134771548139e+01,3.846740785046469568e+01,-2.696898843018383125e+14,1.995038566585215312e+14
2.028972381312294004e+01,5.200623626558487445e+01,-2.797812024218798125e+14,2.351046475459583438e+14
1.773828265935891935e+01,4.389310087185993581e+01,-2.997818755680218125e+14,2.384247616147558125e+14
1.581059714156559792e+01,4.348788963219164572e+01,-2.629768243905510312e+14,2.284306511915635938e+14
1.747802712442972961e+01,8.010950188227781155e+01,-1.625893368108344375e+14,2.392224752310594375e+14
1.214415227646312269e+05,1.902948535062359646e+07,4.150113721880548125e+14,3.348768752640958800e+16
5.914778371682723082e+04,7.968780446257066214e+05,7.720892369618927500e+14,1.902539653976056500e+15
7.259272299349565401e+03,9.353843942710905685e+04,4.328891674697941250e+14,2.132112144107157250e+15
3.046334898944124234e+03,1.606596261903095183e+04,4.358337119622681250e+14,8.773247020115070000e+14
1.005566702393886953e+04,1.217291874887954036e+05,6.424168115428793750e+14,3.108201024934053500e+15
1.771413449224421843e-01,3.806678209266829072e+01,6.378745771745932812e+13,3.398605499593162500e+14
1.304569293409637612e+05,3.137629817037168890e+07,-4.688229574127730625e+14,5.867567224512071200e+16
1.311230796305378899e+05,9.162246247283237055e+06,-1.484281696183974250e+15,5.394784255937602400e+16
1.304109398428448330e+05,7.135474218995803967e+06,-1.934051788645792250e+15,5.506833280080285600e+16
1.300524919923603156e+05,6.041462217100745998e+06,-2.052978750350601250e+15,4.973341378076360800e+16
6.841427099893380364e+04,1.835817606653099065e+05,-2.432292411741850000e+15,1.316922417828737250e+15
9.890964466469579202e+04,9.508876976316076471e+05,-1.160538572824451500e+15,5.106218802716525000e+15
2.666724578716928758e-05,3.104272586094970876e+01,1.402477049184950312e+14,1.009463319300293125e+15
3.056634498057803648e+04,6.611790617694191169e+05,1.035015302347577000e+15,9.764118841105426000e+15
2.944784574810850245e+04,5.166700755069591105e+05,1.369991960360904750e+15,1.052095152032801800e+16
6.443903718494797772e+01,1.868713045762383160e+02,-2.371990406475011875e+14,2.541810388836738750e+14
6.046521295352020076e+01,1.361890341223220844e+02,-2.663400526988668750e+14,2.204922744040444688e+14
2.497823800955883416e+04,8.174224304509022040e+05,5.543440061022793750e+14,8.006047436429609000e+15
2.871491266962668210e+00,6.441787989872653775e+00,-2.578257125034687188e+14,1.007649897259920000e+14
1.825304272059476762e+00,5.633132035794342407e+00,-2.217662017984185312e+14,9.421243726369307812e+13
1.304694294591379730e+05,1.429765361647664569e+07,-9.282489005076278750e+14,5.293367725325458400e+16
1.197994706955272413e+05,3.404302615559942555e+06,-1.361706257549891750e+15,2.001066427270086400e+16
9.985479389003492543e+03,5.946841302709810407e+04,-1.061673626320225500e+15,2.530370525641931000e+15
7.860513172430370510e+00,1.862193162688506121e+01,-2.169356113738329688e+14,1.402220271473715938e+14
1.245760817338755011e+01,2.016046904040937449e+01,-2.999880511125131875e+14,1.472607570623124062e+14
1.509604755982521951e+01,1.868182839659774785e+01,-3.671322307713564375e+14,1.422661993288875938e+14
1.341802798149386255e+01,2.222959422721623923e+01,-3.068094995076657500e+14,1.563552861787836875e+14
1.109288842303691780e+01,2.187718744609166421e+01,-2.924288691878621875e+14,1.713159058578910000e+14
6.839403680766073421e+02,1.591074831883432125e+03,-4.617936884467487500e+14,4.416094566345400625e+14
4.960635451094993300e+02,1.061548364765739279e+03,-4.850784695026598125e+14,4.234950019345919375e+14
6.610470807119399979e+02,1.124346295395615471e+03,-5.807191942066248750e+14,4.058943190408949375e+14
6.723357115270284794e+02,9.036807067074097404e+02,-6.439164079526168750e+14,3.557098359295485000e+14
6.303712495208033033e+02,8.677106281678894675e+02,-5.855740625242518750e+14,3.308379527580616875e+14
8.324019124651848642e+02,1.525855948746091826e+03,-4.577376456766683125e+14,3.467033225180756250e+14
1.092488495317904835e+03,2.357267009953129673e+03,-4.165263625614465625e+14,3.722841092531417500e+14
4.195471405095157388e+04,3.838429016477190307e+05,-1.440067016685115250e+15,4.802951139724670000e+15
5.214817293280481681e+04,3.000937107792710303e+05,-1.630536392652928500e+15,2.328576740215523000e+15
5.538984174643277356e+02,1.705925513281709527e+03,-2.996192971121933125e+14,3.779827723024797500e+14
4.021188650739615582e+02,1.095200160334137536e+03,-3.206672732582936250e+14,3.543581579353674375e+14
2.706904114321043835e+02,7.063192155503577396e+02,-3.128941018385005000e+14,3.267086354156803750e+14
1.827980452229999173e+02,9.465101726177499586e+02,-1.545034445670353750e+14,3.151997106772097500e+14
7.010479688543740906e+01,3.455282948325334473e+02,-1.457404477767376562e+14,2.673981499700774062e+14
4.066304366686296845e+01,1.952343147176823948e+02,-1.387599822324594062e+14,2.368085207446005938e+14
4.552053102502207480e+02,8.812577639314429689e+03,4.739145825355285938e+13,3.744364874046513125e+14
1.297971350006535940e+05,1.701524847767908871e+07,-7.774225650694737500e+14,5.304995516937330400e+16
1.296521892445030389e+05,1.050337067075383477e+07,-1.222815357367775750e+15,5.149676247063976000e+16
1.300812738315979077e+05,9.905735403811007738e+06,-1.542428023898957750e+15,6.101743125793658400e+16
3.986419552328138525e+04,3.206294636719272821e+05,-2.253685017621940000e+15,6.937936353842726000e+15
3.683110196727177390e+04,3.564327188194419723e+05,-2.230908226664327250e+15,8.769325603858049000e+15
