E/N (Td)	Diffusion coefficient x N (1/m/s)
0.1000E-01	0.6577E+24
0.1059E-01	0.6591E+24
0.1122E-01	0.6606E+24
0.1189E-01	0.6622E+24
0.1260E-01	0.6640E+24
0.1335E-01	0.6660E+24
0.1414E-01	0.6682E+24
0.1498E-01	0.6706E+24
0.1588E-01	0.6731E+24
0.1682E-01	0.6759E+24
0.1782E-01	0.6790E+24
0.1888E-01	0.6823E+24
0.2000E-01	0.6858E+24
0.2119E-01	0.6897E+24
0.2245E-01	0.6938E+24
0.2379E-01	0.6982E+24
0.2520E-01	0.7030E+24
0.2670E-01	0.7081E+24
0.2829E-01	0.7135E+24
0.2998E-01	0.7193E+24
0.3176E-01	0.7255E+24
0.3365E-01	0.7321E+24
0.3565E-01	0.7390E+24
0.3777E-01	0.7464E+24
0.4002E-01	0.7542E+24
0.4240E-01	0.7624E+24
0.4492E-01	0.7711E+24
0.4759E-01	0.7802E+24
0.5042E-01	0.7898E+24
0.5342E-01	0.7998E+24
0.5660E-01	0.8104E+24
0.5996E-01	0.8214E+24
0.6353E-01	0.8329E+24
0.6731E-01	0.8449E+24
0.7131E-01	0.8574E+24
0.7555E-01	0.8704E+24
0.8005E-01	0.8839E+24
0.8481E-01	0.8980E+24
0.8985E-01	0.9126E+24
0.9519E-01	0.9277E+24
0.1009	0.9434E+24
0.1069	0.9591E+24
0.1132	0.9764E+24
0.1199	0.9932E+24
0.1271	0.1011E+25
0.1346	0.1030E+25
0.1426	0.1049E+25
0.1511	0.1068E+25
0.1601	0.1089E+25
0.1696	0.1110E+25
0.1797	0.1131E+25
0.1904	0.1153E+25
0.2018	0.1176E+25
0.2138	0.1199E+25
0.2265	0.1223E+25
0.2399	0.1248E+25
0.2542	0.1273E+25
0.2693	0.1299E+25
0.2853	0.1326E+25
0.3023	0.1354E+25
0.3203	0.1382E+25
0.3394	0.1411E+25
0.3595	0.1441E+25
0.3809	0.1472E+25
0.4036	0.1503E+25
0.4276	0.1536E+25
0.4530	0.1569E+25
0.4800	0.1603E+25
0.5085	0.1639E+25
0.5388	0.1675E+25
0.5708	0.1712E+25
0.6048	0.1750E+25
0.6407	0.1789E+25
0.6788	0.1830E+25
0.7192	0.1871E+25
0.7620	0.1914E+25
0.8073	0.1958E+25
0.8553	0.2004E+25
0.9062	0.2050E+25
0.9601	0.2098E+25
1.017	0.2148E+25
1.078	0.2199E+25
1.142	0.2251E+25
1.210	0.2305E+25
1.282	0.2361E+25
1.358	0.2419E+25
1.439	0.2479E+25
1.524	0.2541E+25
1.615	0.2605E+25
1.711	0.2671E+25
1.813	0.2740E+25
1.921	0.2811E+25
2.035	0.2886E+25
2.156	0.2963E+25
2.284	0.3045E+25
2.420	0.3130E+25
2.564	0.3219E+25
2.716	0.3314E+25
2.878	0.3413E+25
3.049	0.3519E+25
3.230	0.3632E+25
3.423	0.3753E+25
3.626	0.3882E+25
3.842	0.4023E+25
4.070	0.4176E+25
4.312	0.4344E+25
4.569	0.4529E+25
4.841	0.4736E+25
5.129	0.4968E+25
5.434	0.5227E+25
5.757	0.5516E+25
6.099	0.5834E+25
6.462	0.6175E+25
6.847	0.6531E+25
7.254	0.6894E+25
7.685	0.7248E+25
8.142	0.7588E+25
8.627	0.7907E+25
9.140	0.8203E+25
9.683	0.8477E+25
10.26	0.8731E+25
10.87	0.8962E+25
11.52	0.9176E+25
12.20	0.9381E+25
12.93	0.9575E+25
13.70	0.9755E+25
14.51	0.9935E+25
15.37	0.1011E+26
16.29	0.1028E+26
17.26	0.1045E+26
18.28	0.1062E+26
19.37	0.1079E+26
20.52	0.1097E+26
21.74	0.1114E+26
23.04	0.1132E+26
24.41	0.1151E+26
25.86	0.1170E+26
27.40	0.1191E+26
29.03	0.1211E+26
30.75	0.1232E+26
32.58	0.1255E+26
34.52	0.1279E+26
36.57	0.1304E+26
38.75	0.1330E+26
41.05	0.1358E+26
43.49	0.1387E+26
46.08	0.1419E+26
48.82	0.1452E+26
51.73	0.1487E+26
54.80	0.1525E+26
58.06	0.1566E+26
61.52	0.1610E+26
65.18	0.1656E+26
69.05	0.1706E+26
73.16	0.1761E+26
77.51	0.1820E+26
82.12	0.1884E+26
87.01	0.1953E+26
92.18	0.2028E+26
97.66	0.2108E+26
103.5	0.2199E+26
109.6	0.2296E+26
116.1	0.2399E+26
123.1	0.2514E+26
130.4	0.2639E+26
138.1	0.2778E+26
146.3	0.2926E+26
155.0	0.3086E+26
164.3	0.3265E+26
174.0	0.3456E+26
184.4	0.3664E+26
195.4	0.3896E+26
207.0	0.4138E+26
219.3	0.4410E+26
232.3	0.4698E+26
246.2	0.5008E+26
260.8	0.5350E+26
276.3	0.5708E+26
292.7	0.6102E+26
310.2	0.6517E+26
328.6	0.6968E+26
348.2	0.7446E+26
368.9	0.7959E+26
390.8	0.8510E+26
414.0	0.9095E+26
438.7	0.9753E+26
464.8	0.1042E+27
492.4	0.1114E+27
521.7	0.1191E+27
552.7	0.1273E+27
585.6	0.1362E+27
620.4	0.1458E+27
657.3	0.1561E+27
696.4	0.1673E+27
737.9	0.1796E+27
781.7	0.1929E+27
828.2	0.2075E+27
877.5	0.2237E+27
929.7	0.2415E+27
985.0	0.2612E+27

