E/N (Td)	Diffusion coefficient x N (1/m/s)
0.1000	0.9410E+24
0.1090	0.9653E+24
0.1188	0.9902E+24
0.1294	0.1017E+25
0.1411	0.1045E+25
0.1538	0.1074E+25
0.1676	0.1105E+25
0.1826	0.1137E+25
0.1990	0.1170E+25
0.2169	0.1205E+25
0.2364	0.1242E+25
0.2576	0.1279E+25
0.2808	0.1319E+25
0.3060	0.1360E+25
0.3335	0.1403E+25
0.3635	0.1447E+25
0.3961	0.1493E+25
0.4317	0.1541E+25
0.4705	0.1592E+25
0.5127	0.1644E+25
0.5588	0.1698E+25
0.6090	0.1755E+25
0.6637	0.1814E+25
0.7234	0.1876E+25
0.7884	0.1940E+25
0.8592	0.2007E+25
0.9364	0.2077E+25
1.020	0.2150E+25
1.112	0.2227E+25
1.212	0.2307E+25
1.321	0.2391E+25
1.440	0.2480E+25
1.569	0.2572E+25
1.710	0.2670E+25
1.864	0.2774E+25
2.031	0.2883E+25
2.214	0.3000E+25
2.412	0.3125E+25
2.629	0.3260E+25
2.865	0.3406E+25
3.123	0.3565E+25
3.403	0.3741E+25
3.709	0.3936E+25
4.042	0.4157E+25
4.405	0.4410E+25
4.801	0.4705E+25
5.233	0.5054E+25
5.703	0.5467E+25
6.215	0.5942E+25
6.773	0.6464E+25
7.382	0.7003E+25
8.045	0.7519E+25
8.768	0.7993E+25
9.556	0.8416E+25
10.41	0.8792E+25
11.35	0.9125E+25
12.37	0.9426E+25
13.48	0.9706E+25
14.69	0.9971E+25
16.01	0.1023E+26
17.45	0.1048E+26
19.02	0.1073E+26
20.73	0.1100E+26
22.59	0.1126E+26
24.62	0.1154E+26
26.83	0.1184E+26
29.24	0.1214E+26
31.87	0.1247E+26
34.73	0.1281E+26
37.85	0.1319E+26
41.25	0.1360E+26
44.96	0.1405E+26
49.00	0.1454E+26
53.40	0.1508E+26
58.20	0.1568E+26
63.42	0.1633E+26
69.12	0.1707E+26
75.33	0.1790E+26
82.10	0.1884E+26
89.48	0.1989E+26
97.51	0.2106E+26
106.3	0.2243E+26
115.8	0.2394E+26
126.2	0.2568E+26
137.6	0.2768E+26
149.9	0.2991E+26
163.4	0.3247E+26
178.1	0.3535E+26
194.1	0.3870E+26
211.5	0.4235E+26
230.5	0.4659E+26
251.2	0.5129E+26
273.8	0.5648E+26
298.4	0.6234E+26
325.2	0.6887E+26
354.4	0.7603E+26
386.3	0.8392E+26
421.0	0.9270E+26
458.8	0.1027E+27
500.0	0.1134E+27
