E/N (Td)	Elastic power loss / N (eV m3/s)
0.1000	0.2835E-18
0.1090	0.3094E-18
0.1188	0.3384E-18
0.1294	0.3713E-18
0.1411	0.4083E-18
0.1538	0.4500E-18
0.1676	0.4970E-18
0.1826	0.5499E-18
0.1990	0.6096E-18
0.2169	0.6769E-18
0.2364	0.7528E-18
0.2576	0.8385E-18
0.2808	0.9352E-18
0.3060	0.1044E-17
0.3335	0.1168E-17
0.3635	0.1307E-17
0.3961	0.1465E-17
0.4317	0.1643E-17
0.4705	0.1844E-17
0.5127	0.2072E-17
0.5588	0.2330E-17
0.6090	0.2622E-17
0.6637	0.2953E-17
0.7234	0.3328E-17
0.7884	0.3753E-17
0.8592	0.4234E-17
0.9364	0.4780E-17
1.020	0.5400E-17
1.112	0.6102E-17
1.212	0.6900E-17
1.321	0.7806E-17
1.440	0.8836E-17
1.569	0.1001E-16
1.710	0.1134E-16
1.864	0.1285E-16
2.031	0.1458E-16
2.214	0.1655E-16
2.412	0.1881E-16
2.629	0.2138E-16
2.865	0.2434E-16
3.123	0.2774E-16
3.403	0.3164E-16
3.709	0.3613E-16
4.042	0.4136E-16
4.405	0.4743E-16
4.801	0.5451E-16
5.233	0.6276E-16
5.703	0.7225E-16
6.215	0.8273E-16
6.773	0.9371E-16
7.382	0.1045E-15
8.045	0.1144E-15
8.768	0.1230E-15
9.556	0.1304E-15
10.41	0.1367E-15
11.35	0.1420E-15
12.37	0.1466E-15
13.48	0.1507E-15
14.69	0.1544E-15
16.01	0.1580E-15
17.45	0.1613E-15
19.02	0.1645E-15
20.73	0.1678E-15
22.59	0.1709E-15
24.62	0.1741E-15
26.83	0.1774E-15
29.24	0.1806E-15
31.87	0.1841E-15
34.73	0.1875E-15
37.85	0.1912E-15
41.25	0.1950E-15
44.96	0.1990E-15
49.00	0.2033E-15
53.40	0.2077E-15
58.20	0.2126E-15
63.42	0.2177E-15
69.12	0.2232E-15
75.33	0.2292E-15
82.10	0.2356E-15
89.48	0.2425E-15
97.51	0.2501E-15
106.3	0.2583E-15
115.8	0.2673E-15
126.2	0.2771E-15
137.6	0.2879E-15
149.9	0.2998E-15
163.4	0.3129E-15
178.1	0.3275E-15
194.1	0.3438E-15
211.5	0.3619E-15
230.5	0.3822E-15
251.2	0.4049E-15
273.8	0.4303E-15
298.4	0.4591E-15
325.2	0.4914E-15
354.4	0.5278E-15
386.3	0.5688E-15
421.0	0.6152E-15
458.8	0.6679E-15
500.0	0.7272E-15

