E/N (Td)	Energy diffusion coef. x N (1/m/s)
0.1000	0.1129E+25
0.1090	0.1155E+25
0.1188	0.1184E+25
0.1294	0.1213E+25
0.1411	0.1244E+25
0.1538	0.1277E+25
0.1676	0.1311E+25
0.1826	0.1347E+25
0.1990	0.1385E+25
0.2169	0.1424E+25
0.2364	0.1465E+25
0.2576	0.1508E+25
0.2808	0.1553E+25
0.3060	0.1600E+25
0.3335	0.1649E+25
0.3635	0.1700E+25
0.3961	0.1754E+25
0.4317	0.1809E+25
0.4705	0.1868E+25
0.5127	0.1928E+25
0.5588	0.1992E+25
0.6090	0.2058E+25
0.6637	0.2128E+25
0.7234	0.2200E+25
0.7884	0.2276E+25
0.8592	0.2355E+25
0.9364	0.2438E+25
1.020	0.2525E+25
1.112	0.2617E+25
1.212	0.2713E+25
1.321	0.2814E+25
1.440	0.2920E+25
1.569	0.3033E+25
1.710	0.3153E+25
1.864	0.3280E+25
2.031	0.3417E+25
2.214	0.3564E+25
2.412	0.3724E+25
2.629	0.3899E+25
2.865	0.4093E+25
3.123	0.4309E+25
3.403	0.4552E+25
3.709	0.4831E+25
4.042	0.5156E+25
4.405	0.5543E+25
4.801	0.6014E+25
5.233	0.6596E+25
5.703	0.7304E+25
6.215	0.8122E+25
6.773	0.9003E+25
7.382	0.9880E+25
8.045	0.1070E+26
8.768	0.1144E+26
9.556	0.1209E+26
10.41	0.1268E+26
11.35	0.1319E+26
12.37	0.1367E+26
13.48	0.1411E+26
14.69	0.1454E+26
16.01	0.1496E+26
17.45	0.1538E+26
19.02	0.1581E+26
20.73	0.1626E+26
22.59	0.1672E+26
24.62	0.1721E+26
26.83	0.1774E+26
29.24	0.1829E+26
31.87	0.1889E+26
34.73	0.1955E+26
37.85	0.2026E+26
41.25	0.2104E+26
44.96	0.2191E+26
49.00	0.2287E+26
53.40	0.2393E+26
58.20	0.2514E+26
63.42	0.2647E+26
69.12	0.2799E+26
75.33	0.2971E+26
82.10	0.3166E+26
89.48	0.3391E+26
97.51	0.3641E+26
106.3	0.3937E+26
115.8	0.4265E+26
126.2	0.4646E+26
137.6	0.5083E+26
149.9	0.5573E+26
163.4	0.6138E+26
178.1	0.6769E+26
194.1	0.7502E+26
211.5	0.8299E+26
230.5	0.9213E+26
251.2	0.1023E+27
273.8	0.1134E+27
298.4	0.1259E+27
325.2	0.1398E+27
354.4	0.1550E+27
386.3	0.1719E+27
421.0	0.1907E+27
458.8	0.2129E+27
500.0	0.2365E+27
