E/N (Td)	Energy mobility x N (1/m/V/s)
0.1000	0.2106E+26
0.1090	0.2040E+26
0.1188	0.1974E+26
0.1294	0.1908E+26
0.1411	0.1843E+26
0.1538	0.1779E+26
0.1676	0.1715E+26
0.1826	0.1653E+26
0.1990	0.1592E+26
0.2169	0.1532E+26
0.2364	0.1474E+26
0.2576	0.1417E+26
0.2808	0.1362E+26
0.3060	0.1308E+26
0.3335	0.1256E+26
0.3635	0.1206E+26
0.3961	0.1157E+26
0.4317	0.1110E+26
0.4705	0.1065E+26
0.5127	0.1021E+26
0.5588	0.9786E+25
0.6090	0.9380E+25
0.6637	0.8989E+25
0.7234	0.8614E+25
0.7884	0.8253E+25
0.8592	0.7907E+25
0.9364	0.7575E+25
1.020	0.7257E+25
1.112	0.6953E+25
1.212	0.6661E+25
1.321	0.6382E+25
1.440	0.6116E+25
1.569	0.5861E+25
1.710	0.5619E+25
1.864	0.5389E+25
2.031	0.5170E+25
2.214	0.4964E+25
2.412	0.4768E+25
2.629	0.4585E+25
2.865	0.4413E+25
3.123	0.4252E+25
3.403	0.4103E+25
3.709	0.3967E+25
4.042	0.3843E+25
4.405	0.3733E+25
4.801	0.3640E+25
5.233	0.3565E+25
5.703	0.3513E+25
6.215	0.3485E+25
6.773	0.3479E+25
7.382	0.3490E+25
8.045	0.3512E+25
8.768	0.3539E+25
9.556	0.3568E+25
10.41	0.3597E+25
11.35	0.3626E+25
12.37	0.3652E+25
13.48	0.3679E+25
14.69	0.3705E+25
16.01	0.3731E+25
17.45	0.3757E+25
19.02	0.3785E+25
20.73	0.3812E+25
22.59	0.3841E+25
24.62	0.3870E+25
26.83	0.3902E+25
29.24	0.3935E+25
31.87	0.3968E+25
34.73	0.4005E+25
37.85	0.4042E+25
41.25	0.4082E+25
44.96	0.4126E+25
49.00	0.4172E+25
53.40	0.4219E+25
58.20	0.4273E+25
63.42	0.4327E+25
69.12	0.4388E+25
75.33	0.4452E+25
82.10	0.4520E+25
89.48	0.4594E+25
97.51	0.4667E+25
106.3	0.4752E+25
115.8	0.4831E+25
126.2	0.4917E+25
137.6	0.5006E+25
149.9	0.5089E+25
163.4	0.5175E+25
178.1	0.5252E+25
194.1	0.5333E+25
211.5	0.5393E+25
230.5	0.5454E+25
251.2	0.5500E+25
273.8	0.5530E+25
298.4	0.5551E+25
325.2	0.5560E+25
354.4	0.5553E+25
386.3	0.5533E+25
421.0	0.5504E+25
458.8	0.5477E+25
500.0	0.5430E+25
