E/N (Td)	Imaginary mobility x N (1/m/V/s)
0.1000	0.000
0.1090	0.000
0.1188	0.000
0.1294	0.000
0.1411	0.000
0.1538	0.000
0.1676	0.000
0.1826	0.000
0.1990	0.000
0.2169	0.000
0.2364	0.000
0.2576	0.000
0.2808	0.000
0.3060	0.000
0.3335	0.000
0.3635	0.000
0.3961	0.000
0.4317	0.000
0.4705	0.000
0.5127	0.000
0.5588	0.000
0.6090	0.000
0.6637	0.000
0.7234	0.000
0.7884	0.000
0.8592	0.000
0.9364	0.000
1.020	0.000
1.112	0.000
1.212	0.000
1.321	0.000
1.440	0.000
1.569	0.000
1.710	0.000
1.864	0.000
2.031	0.000
2.214	0.000
2.412	0.000
2.629	0.000
2.865	0.000
3.123	0.000
3.403	0.000
3.709	0.000
4.042	0.000
4.405	0.000
4.801	0.000
5.233	0.000
5.703	0.000
6.215	0.000
6.773	0.000
7.382	0.000
8.045	0.000
8.768	0.000
9.556	0.000
10.41	0.000
11.35	0.000
12.37	0.000
13.48	0.000
14.69	0.000
16.01	0.000
17.45	0.000
19.02	0.000
20.73	0.000
22.59	0.000
24.62	0.000
26.83	0.000
29.24	0.000
31.87	0.000
34.73	0.000
37.85	0.000
41.25	0.000
44.96	0.000
49.00	0.000
53.40	0.000
58.20	0.000
63.42	0.000
69.12	0.000
75.33	0.000
82.10	0.000
89.48	0.000
97.51	0.000
106.3	0.000
115.8	0.000
126.2	0.000
137.6	0.000
149.9	0.000
163.4	0.000
178.1	0.000
194.1	0.000
211.5	0.000
230.5	0.000
251.2	0.000
273.8	0.000
298.4	0.000
325.2	0.000
354.4	0.000
386.3	0.000
421.0	0.000
458.8	0.000
500.0	0.000
