E/N (Td)	Inelastic power loss / N (eV m3/s)
0.1000	0.000
0.1090	0.000
0.1188	0.000
0.1294	0.000
0.1411	0.000
0.1538	0.000
0.1676	0.000
0.1826	0.000
0.1990	0.000
0.2169	0.000
0.2364	0.000
0.2576	0.000
0.2808	0.000
0.3060	0.000
0.3335	0.000
0.3635	0.000
0.3961	0.000
0.4317	0.000
0.4705	0.000
0.5127	0.000
0.5588	0.000
0.6090	0.000
0.6637	0.000
0.7234	0.000
0.7884	0.000
0.8592	0.000
0.9364	0.000
1.020	0.000
1.112	0.000
1.212	0.000
1.321	0.000
1.440	0.000
1.569	0.000
1.710	0.000
1.864	0.000
2.031	0.000
2.214	0.000
2.412	0.000
2.629	0.000
2.865	0.000
3.123	0.1021E-26
3.403	0.3225E-24
3.709	0.1147E-22
4.042	0.2360E-21
4.405	0.2996E-20
4.801	0.2513E-19
5.233	0.1482E-18
5.703	0.6401E-18
6.215	0.2139E-17
6.773	0.5712E-17
7.382	0.1270E-16
8.045	0.2439E-16
8.768	0.4183E-16
9.556	0.6579E-16
10.41	0.9698E-16
11.35	0.1364E-15
12.37	0.1849E-15
13.48	0.2438E-15
14.69	0.3149E-15
16.01	0.4000E-15
17.45	0.5020E-15
19.02	0.6231E-15
20.73	0.7668E-15
22.59	0.9382E-15
24.62	0.1142E-14
26.83	0.1381E-14
29.24	0.1668E-14
31.87	0.2004E-14
34.73	0.2406E-14
37.85	0.2878E-14
41.25	0.3440E-14
44.96	0.4105E-14
49.00	0.4886E-14
53.40	0.5820E-14
58.20	0.6919E-14
63.42	0.8219E-14
69.12	0.9763E-14
75.33	0.1158E-13
82.10	0.1374E-13
89.48	0.1629E-13
97.51	0.1929E-13
106.3	0.2285E-13
115.8	0.2701E-13
126.2	0.3190E-13
137.6	0.3765E-13
149.9	0.4430E-13
163.4	0.5205E-13
178.1	0.6096E-13
194.1	0.7127E-13
211.5	0.8290E-13
230.5	0.9620E-13
251.2	0.1111E-12
273.8	0.1275E-12
298.4	0.1458E-12
325.2	0.1658E-12
354.4	0.1875E-12
386.3	0.2107E-12
421.0	0.2356E-12
458.8	0.2620E-12
500.0	0.2896E-12

