E/N (Td)	Longitudinal dif. coef. x N (1/m/s)
0.1000	0.5731E+24
0.1090	0.5772E+24
0.1188	0.5831E+24
0.1294	0.5888E+24
0.1411	0.5955E+24
0.1538	0.6030E+24
0.1676	0.6113E+24
0.1826	0.6206E+24
0.1990	0.6307E+24
0.2169	0.6417E+24
0.2364	0.6536E+24
0.2576	0.6665E+24
0.2808	0.6804E+24
0.3060	0.6953E+24
0.3335	0.7115E+24
0.3635	0.7282E+24
0.3961	0.7464E+24
0.4317	0.7657E+24
0.4705	0.7863E+24
0.5127	0.8081E+24
0.5588	0.8312E+24
0.6090	0.8557E+24
0.6637	0.8816E+24
0.7234	0.9090E+24
0.7884	0.9379E+24
0.8592	0.9686E+24
0.9364	0.1001E+25
1.020	0.1035E+25
1.112	0.1073E+25
1.212	0.1111E+25
1.321	0.1153E+25
1.440	0.1197E+25
1.569	0.1245E+25
1.710	0.1297E+25
1.864	0.1354E+25
2.031	0.1417E+25
2.214	0.1486E+25
2.412	0.1564E+25
2.629	0.1652E+25
2.865	0.1752E+25
3.123	0.1867E+25
3.403	0.2001E+25
3.709	0.2163E+25
4.042	0.2355E+25
4.405	0.2593E+25
4.801	0.2897E+25
5.233	0.3299E+25
5.703	0.3835E+25
6.215	0.4532E+25
6.773	0.5369E+25
7.382	0.6268E+25
8.045	0.7146E+25
8.768	0.7930E+25
9.556	0.8595E+25
10.41	0.9150E+25
11.35	0.9611E+25
12.37	0.1001E+26
13.48	0.1036E+26
14.69	0.1069E+26
16.01	0.1100E+26
17.45	0.1130E+26
19.02	0.1161E+26
20.73	0.1194E+26
22.59	0.1228E+26
24.62	0.1265E+26
26.83	0.1308E+26
29.24	0.1349E+26
31.87	0.1395E+26
34.73	0.1443E+26
37.85	0.1493E+26
41.25	0.1547E+26
44.96	0.1610E+26
49.00	0.1677E+26
53.40	0.1751E+26
58.20	0.1840E+26
63.42	0.1940E+26
69.12	0.2058E+26
75.33	0.2192E+26
82.10	0.2341E+26
89.48	0.2510E+26
97.51	0.2694E+26
106.3	0.2903E+26
115.8	0.3143E+26
126.2	0.3425E+26
137.6	0.3743E+26
149.9	0.4113E+26
163.4	0.4542E+26
178.1	0.4968E+26
194.1	0.5530E+26
211.5	0.6141E+26
230.5	0.6864E+26
251.2	0.7708E+26
273.8	0.8648E+26
298.4	0.9730E+26
325.2	0.1098E+27
354.4	0.1233E+27
386.3	0.1390E+27
421.0	0.1582E+27
458.8	0.1796E+27
500.0	0.2047E+27
