E/N (Td)    	Maximum energy                                                  
0.1000	1.087
0.1090	1.119
0.1188	1.155
0.1294	1.195
0.1411	1.240
0.1538	1.291
0.1676	1.347
0.1826	1.408
0.1990	1.477
0.2169	1.553
0.2364	1.637
0.2576	1.729
0.2808	1.832
0.3060	1.944
0.3335	1.618
0.3635	2.220
0.3961	2.350
0.4317	2.493
0.4705	2.651
0.5127	2.826
0.5588	3.019
0.6090	3.232
0.6637	3.467
0.7234	3.727
0.7884	4.015
0.8592	4.336
0.9364	4.695
1.020	5.098
1.112	4.341
1.212	6.097
1.321	6.610
1.440	7.193
1.569	7.857
1.710	8.617
1.864	9.493
2.031	10.51
2.214	11.72
2.412	13.17
2.629	14.93
2.865	17.12
3.123	19.94
3.403	23.65
3.709	21.54
4.042	23.14
4.405	25.25
4.801	26.90
5.233	28.15
5.703	37.67
6.215	31.54
6.773	32.05
7.382	33.52
8.045	35.14
8.768	36.94
9.556	38.15
10.41	40.28
11.35	41.76
12.37	44.32
13.48	46.12
14.69	48.07
16.01	50.15
17.45	53.68
19.02	56.04
20.73	58.57
22.59	62.88
24.62	65.81
26.83	89.46
29.24	74.04
31.87	99.99
34.73	106.5
37.85	113.8
41.25	122.2
44.96	127.4
49.00	137.9
53.40	149.9
58.20	157.8
63.42	173.0
69.12	183.2
75.33	194.5
82.10	216.0
89.48	230.8
97.51	246.8
106.3	276.7
115.8	297.5
126.2	320.7
137.6	364.7
149.9	396.8
163.4	440.5
178.1	636.9
194.1	710.2
211.5	812.1
230.5	913.6
251.2	1030.
273.8	1164.
298.4	1320.
325.2	1497.
354.4	1777.
386.3	2049.
421.0	2371.
458.8	2767.
500.0	3246.
