E/N (Td)	Mean energy (eV)
0.1000E-01	0.4023E-01
0.1059E-01	0.4039E-01
0.1122E-01	0.4057E-01
0.1189E-01	0.4077E-01
0.1260E-01	0.4099E-01
0.1335E-01	0.4123E-01
0.1414E-01	0.4149E-01
0.1498E-01	0.4178E-01
0.1588E-01	0.4210E-01
0.1682E-01	0.4245E-01
0.1782E-01	0.4283E-01
0.1888E-01	0.4325E-01
0.2000E-01	0.4371E-01
0.2119E-01	0.4420E-01
0.2245E-01	0.4474E-01
0.2379E-01	0.4533E-01
0.2520E-01	0.4597E-01
0.2670E-01	0.4665E-01
0.2829E-01	0.4740E-01
0.2998E-01	0.4821E-01
0.3176E-01	0.4907E-01
0.3365E-01	0.5001E-01
0.3565E-01	0.5102E-01
0.3777E-01	0.5210E-01
0.4002E-01	0.5326E-01
0.4240E-01	0.5450E-01
0.4492E-01	0.5584E-01
0.4759E-01	0.5727E-01
0.5042E-01	0.5880E-01
0.5342E-01	0.6043E-01
0.5660E-01	0.6217E-01
0.5996E-01	0.6402E-01
0.6353E-01	0.6599E-01
0.6731E-01	0.6810E-01
0.7131E-01	0.7034E-01
0.7555E-01	0.7271E-01
0.8005E-01	0.7524E-01
0.8481E-01	0.7792E-01
0.8985E-01	0.8076E-01
0.9519E-01	0.8378E-01
0.1009	0.8698E-01
0.1069	0.9032E-01
0.1132	0.9396E-01
0.1199	0.9770E-01
0.1271	0.1017
0.1346	0.1060
0.1426	0.1105
0.1511	0.1153
0.1601	0.1203
0.1696	0.1256
0.1797	0.1312
0.1904	0.1372
0.2018	0.1435
0.2138	0.1501
0.2265	0.1571
0.2399	0.1645
0.2542	0.1723
0.2693	0.1806
0.2853	0.1893
0.3023	0.1985
0.3203	0.2083
0.3394	0.2186
0.3595	0.2294
0.3809	0.2409
0.4036	0.2530
0.4276	0.2658
0.4530	0.2794
0.4800	0.2937
0.5085	0.3088
0.5388	0.3247
0.5708	0.3416
0.6048	0.3594
0.6407	0.3783
0.6788	0.3982
0.7192	0.4193
0.7620	0.4416
0.8073	0.4651
0.8553	0.4900
0.9062	0.5164
0.9601	0.5443
1.017	0.5738
1.078	0.6050
1.142	0.6380
1.210	0.6731
1.282	0.7102
1.358	0.7495
1.439	0.7911
1.524	0.8353
1.615	0.8822
1.711	0.9319
1.813	0.9849
1.921	1.041
2.035	1.101
2.156	1.165
2.284	1.233
2.420	1.305
2.564	1.383
2.716	1.466
2.878	1.556
3.049	1.652
3.230	1.756
3.423	1.868
3.626	1.988
3.842	2.120
4.070	2.263
4.312	2.421
4.569	2.594
4.841	2.785
5.129	2.996
5.434	3.229
5.757	3.484
6.099	3.758
6.462	4.047
6.847	4.342
7.254	4.636
7.685	4.918
8.142	5.182
8.627	5.427
9.140	5.649
9.683	5.851
10.26	6.034
10.87	6.199
11.52	6.351
12.20	6.492
12.93	6.624
13.70	6.745
14.51	6.865
15.37	6.979
16.29	7.090
17.26	7.197
18.28	7.308
19.37	7.411
20.52	7.522
21.74	7.627
23.04	7.737
24.41	7.848
25.86	7.962
27.40	8.081
29.03	8.198
30.75	8.321
32.58	8.449
34.52	8.578
36.57	8.716
38.75	8.860
41.05	9.007
43.49	9.163
46.08	9.329
48.82	9.502
51.73	9.683
54.80	9.875
58.06	10.08
61.52	10.30
65.18	10.53
69.05	10.77
73.16	11.03
77.51	11.31
82.12	11.61
87.01	11.93
92.18	12.27
97.66	12.64
103.5	13.04
109.6	13.47
116.1	13.93
123.1	14.43
130.4	14.98
138.1	15.56
146.3	16.20
155.0	16.89
164.3	17.64
174.0	18.45
184.4	19.33
195.4	20.29
207.0	21.33
219.3	22.47
232.3	23.70
246.2	25.04
260.8	26.50
276.3	28.07
292.7	29.80
310.2	31.66
328.6	33.68
348.2	35.87
368.9	38.25
390.8	40.83
414.0	43.63
438.7	46.70
464.8	50.00
492.4	53.58
521.7	57.47
552.7	61.70
585.6	66.30
620.4	71.33
657.3	76.82
696.4	82.80
737.9	89.38
781.7	96.57
828.2	104.5
877.5	113.2
929.7	122.8
985.0	133.5
