E/N (Td)	Effect. mom. transfer fraction
0.1000	1.000
0.1090	1.000
0.1188	1.000
0.1294	1.000
0.1411	1.000
0.1538	1.000
0.1676	1.000
0.1826	1.000
0.1990	1.000
0.2169	1.000
0.2364	1.000
0.2576	1.000
0.2808	1.000
0.3060	1.000
0.3335	1.000
0.3635	1.000
0.3961	1.000
0.4317	1.000
0.4705	1.000
0.5127	1.000
0.5588	1.000
0.6090	1.000
0.6637	1.000
0.7234	1.000
0.7884	1.000
0.8592	1.000
0.9364	1.000
1.020	1.000
1.112	1.000
1.212	1.000
1.321	1.000
1.440	1.000
1.569	1.000
1.710	1.000
1.864	1.000
2.031	1.000
2.214	1.000
2.412	1.000
2.629	1.000
2.865	1.000
3.123	1.000
3.403	1.000
3.709	1.000
4.042	1.000
4.405	1.000
4.801	1.000
5.233	1.000
5.703	1.000
6.215	1.000
6.773	1.000
7.382	1.000
8.045	1.000
8.768	1.000
9.556	1.000
10.41	1.000
11.35	1.000
12.37	1.000
13.48	1.000
14.69	1.000
16.01	1.000
17.45	1.000
19.02	1.000
20.73	1.000
22.59	1.000
24.62	1.000
26.83	1.000
29.24	1.000
31.87	1.000
34.73	1.000
37.85	1.000
41.25	1.000
44.96	1.000
49.00	1.000
53.40	1.000
58.20	1.000
63.42	1.000
69.12	1.000
75.33	1.000
82.10	1.000
89.48	1.000
97.51	1.000
106.3	1.000
115.8	1.000
126.2	1.000
137.6	1.000
149.9	1.000
163.4	1.000
178.1	1.000
194.1	1.000
211.5	1.000
230.5	1.000
251.2	1.000
273.8	1.000
298.4	1.000
325.2	1.000
354.4	1.000
386.3	1.000
421.0	1.000
458.8	1.000
500.0	1.000
