E/N (Td)	Effect. momentum freq. / N (m3/s)
0.1000	0.1222E-13
0.1090	0.1265E-13
0.1188	0.1311E-13
0.1294	0.1359E-13
0.1411	0.1410E-13
0.1538	0.1464E-13
0.1676	0.1521E-13
0.1826	0.1581E-13
0.1990	0.1645E-13
0.2169	0.1712E-13
0.2364	0.1782E-13
0.2576	0.1856E-13
0.2808	0.1934E-13
0.3060	0.2015E-13
0.3335	0.2101E-13
0.3635	0.2191E-13
0.3961	0.2286E-13
0.4317	0.2385E-13
0.4705	0.2489E-13
0.5127	0.2598E-13
0.5588	0.2712E-13
0.6090	0.2831E-13
0.6637	0.2956E-13
0.7234	0.3087E-13
0.7884	0.3224E-13
0.8592	0.3367E-13
0.9364	0.3517E-13
1.020	0.3673E-13
1.112	0.3836E-13
1.212	0.4007E-13
1.321	0.4184E-13
1.440	0.4369E-13
1.569	0.4561E-13
1.710	0.4761E-13
1.864	0.4969E-13
2.031	0.5183E-13
2.214	0.5405E-13
2.412	0.5633E-13
2.629	0.5867E-13
2.865	0.6106E-13
3.123	0.6349E-13
3.403	0.6594E-13
3.709	0.6841E-13
4.042	0.7084E-13
4.405	0.7323E-13
4.801	0.7550E-13
5.233	0.7760E-13
5.703	0.7944E-13
6.215	0.8089E-13
6.773	0.8189E-13
7.382	0.8239E-13
8.045	0.8255E-13
8.768	0.8244E-13
9.556	0.8218E-13
10.41	0.8186E-13
11.35	0.8151E-13
12.37	0.8116E-13
13.48	0.8082E-13
14.69	0.8049E-13
16.01	0.8018E-13
17.45	0.7987E-13
19.02	0.7955E-13
20.73	0.7922E-13
22.59	0.7888E-13
24.62	0.7855E-13
26.83	0.7818E-13
29.24	0.7780E-13
31.87	0.7742E-13
34.73	0.7699E-13
37.85	0.7655E-13
41.25	0.7609E-13
44.96	0.7558E-13
49.00	0.7502E-13
53.40	0.7448E-13
58.20	0.7384E-13
63.42	0.7321E-13
69.12	0.7251E-13
75.33	0.7176E-13
82.10	0.7097E-13
89.48	0.7013E-13
97.51	0.6930E-13
106.3	0.6832E-13
115.8	0.6743E-13
126.2	0.6646E-13
137.6	0.6543E-13
149.9	0.6449E-13
163.4	0.6349E-13
178.1	0.6256E-13
194.1	0.6159E-13
211.5	0.6078E-13
230.5	0.5994E-13
251.2	0.5922E-13
273.8	0.5864E-13
298.4	0.5812E-13
325.2	0.5770E-13
354.4	0.5742E-13
386.3	0.5728E-13
421.0	0.5722E-13
458.8	0.5724E-13
500.0	0.5742E-13
