E/N (Td)	Power / N (eV m3/s)
0.1000	0.2834E-18
0.1090	0.3093E-18
0.1188	0.3382E-18
0.1294	0.3711E-18
0.1411	0.4081E-18
0.1538	0.4498E-18
0.1676	0.4967E-18
0.1826	0.5496E-18
0.1990	0.6093E-18
0.2169	0.6765E-18
0.2364	0.7524E-18
0.2576	0.8380E-18
0.2808	0.9346E-18
0.3060	0.1044E-17
0.3335	0.1167E-17
0.3635	0.1306E-17
0.3961	0.1464E-17
0.4317	0.1642E-17
0.4705	0.1843E-17
0.5127	0.2071E-17
0.5588	0.2329E-17
0.6090	0.2621E-17
0.6637	0.2951E-17
0.7234	0.3326E-17
0.7884	0.3751E-17
0.8592	0.4232E-17
0.9364	0.4777E-17
1.020	0.5396E-17
1.112	0.6099E-17
1.212	0.6896E-17
1.321	0.7801E-17
1.440	0.8830E-17
1.569	0.9999E-17
1.710	0.1133E-16
1.864	0.1285E-16
2.031	0.1457E-16
2.214	0.1654E-16
2.412	0.1879E-16
2.629	0.2137E-16
2.865	0.2432E-16
3.123	0.2771E-16
3.403	0.3162E-16
3.709	0.3612E-16
4.042	0.4134E-16
4.405	0.4741E-16
4.801	0.5452E-16
5.233	0.6289E-16
5.703	0.7286E-16
6.215	0.8485E-16
6.773	0.9941E-16
7.382	0.1172E-15
8.045	0.1388E-15
8.768	0.1649E-15
9.556	0.1963E-15
10.41	0.2339E-15
11.35	0.2788E-15
12.37	0.3324E-15
13.48	0.3963E-15
14.69	0.4725E-15
16.01	0.5632E-15
17.45	0.6714E-15
19.02	0.8006E-15
20.73	0.9546E-15
22.59	0.1139E-14
24.62	0.1358E-14
26.83	0.1620E-14
29.24	0.1934E-14
31.87	0.2308E-14
34.73	0.2756E-14
37.85	0.3292E-14
41.25	0.3934E-14
44.96	0.4704E-14
49.00	0.5629E-14
53.40	0.6734E-14
58.20	0.8068E-14
63.42	0.9664E-14
69.12	0.1159E-13
75.33	0.1391E-13
82.10	0.1670E-13
89.48	0.2008E-13
97.51	0.2413E-13
106.3	0.2908E-13
115.8	0.3499E-13
126.2	0.4217E-13
137.6	0.5087E-13
149.9	0.6131E-13
163.4	0.7397E-13
178.1	0.8915E-13
194.1	0.1076E-12
211.5	0.1295E-12
230.5	0.1559E-12
251.2	0.1874E-12
273.8	0.2248E-12
298.4	0.2694E-12
325.2	0.3224E-12
354.4	0.3848E-12
386.3	0.4581E-12
421.0	0.5447E-12
458.8	0.6467E-12
500.0	0.7658E-12

