E/N (Td)	Spatial growth coef. (m2)
0.1000	0.000
0.1090	0.000
0.1188	0.000
0.1294	0.000
0.1411	0.000
0.1538	0.000
0.1676	0.000
0.1826	0.000
0.1990	0.000
0.2169	0.000
0.2364	0.000
0.2576	0.000
0.2808	0.000
0.3060	0.000
0.3335	0.000
0.3635	0.000
0.3961	0.000
0.4317	0.000
0.4705	0.000
0.5127	0.000
0.5588	0.000
0.6090	0.000
0.6637	0.000
0.7234	0.000
0.7884	0.000
0.8592	0.000
0.9364	0.000
1.020	0.000
1.112	0.000
1.212	0.000
1.321	0.000
1.440	0.000
1.569	0.000
1.710	0.000
1.864	0.000
2.031	0.000
2.214	0.000
2.412	0.000
2.629	0.000
2.865	0.000
3.123	0.000
3.403	0.000
3.709	0.000
4.042	0.000
4.405	0.2927E-30
4.801	0.9630E-29
5.233	0.1141E-27
5.703	0.9143E-27
6.215	0.5211E-26
6.773	0.2247E-25
7.382	0.7635E-25
8.045	0.2134E-24
8.768	0.5108E-24
9.556	0.1079E-23
10.41	0.2075E-23
11.35	0.3685E-23
12.37	0.6135E-23
13.48	0.9715E-23
14.69	0.1473E-22
16.01	0.2156E-22
17.45	0.3063E-22
19.02	0.4229E-22
20.73	0.5702E-22
22.59	0.7543E-22
24.62	0.9789E-22
26.83	0.1249E-21
29.24	0.1571E-21
31.87	0.1950E-21
34.73	0.2393E-21
37.85	0.2900E-21
41.25	0.3484E-21
44.96	0.4149E-21
49.00	0.4891E-21
53.40	0.5737E-21
58.20	0.6675E-21
63.42	0.7715E-21
69.12	0.8869E-21
75.33	0.1013E-20
82.10	0.1152E-20
89.48	0.1303E-20
97.51	0.1466E-20
106.3	0.1643E-20
115.8	0.1832E-20
126.2	0.2034E-20
137.6	0.2247E-20
149.9	0.2473E-20
163.4	0.2708E-20
178.1	0.2951E-20
194.1	0.3202E-20
211.5	0.3458E-20
230.5	0.3715E-20
251.2	0.3972E-20
273.8	0.4226E-20
298.4	0.4474E-20
325.2	0.4712E-20
354.4	0.4939E-20
386.3	0.5152E-20
421.0	0.5347E-20
458.8	0.5522E-20
500.0	0.5678E-20

