E/N (Td)	Temporal growth coef. (m3/s)
0.1000	0.000
0.1090	0.000
0.1188	0.000
0.1294	0.000
0.1411	0.000
0.1538	0.000
0.1676	0.000
0.1826	0.000
0.1990	0.000
0.2169	0.000
0.2364	0.000
0.2576	0.000
0.2808	0.000
0.3060	0.000
0.3335	0.000
0.3635	0.000
0.3961	0.000
0.4317	0.000
0.4705	0.000
0.5127	0.000
0.5588	0.000
0.6090	0.000
0.6637	0.000
0.7234	0.000
0.7884	0.000
0.8592	0.000
0.9364	0.000
1.020	0.000
1.112	0.000
1.212	0.000
1.321	0.000
1.440	0.000
1.569	0.000
1.710	0.000
1.864	0.000
2.031	0.000
2.214	0.000
2.412	0.000
2.629	0.000
2.865	0.000
3.123	0.000
3.403	0.000
3.709	0.000
4.042	0.000
4.405	0.3097E-26
4.801	0.1077E-24
5.233	0.1353E-23
5.703	0.1154E-22
6.215	0.7041E-22
6.773	0.3269E-21
7.382	0.1203E-20
8.045	0.3658E-20
8.768	0.9555E-20
9.556	0.2207E-19
10.41	0.4643E-19
11.35	0.9025E-19
12.37	0.1645E-18
13.48	0.2850E-18
14.69	0.4730E-18
16.01	0.7571E-18
17.45	0.1177E-17
19.02	0.1778E-17
20.73	0.2624E-17
22.59	0.3799E-17
24.62	0.5396E-17
26.83	0.7541E-17
29.24	0.1039E-16
31.87	0.1411E-16
34.73	0.1898E-16
37.85	0.2522E-16
41.25	0.3322E-16
44.96	0.4341E-16
49.00	0.5619E-16
53.40	0.7235E-16
58.20	0.9253E-16
63.42	0.1175E-15
69.12	0.1487E-15
75.33	0.1871E-15
82.10	0.2343E-15
89.48	0.2925E-15
97.51	0.3628E-15
106.3	0.4495E-15
115.8	0.5535E-15
126.2	0.6793E-15
137.6	0.8311E-15
149.9	0.1011E-14
163.4	0.1226E-14
178.1	0.1478E-14
194.1	0.1775E-14
211.5	0.2116E-14
230.5	0.2513E-14
251.2	0.2964E-14
273.8	0.3470E-14
298.4	0.4040E-14
325.2	0.4671E-14
354.4	0.5362E-14
386.3	0.6110E-14
421.0	0.6919E-14
458.8	0.7785E-14
500.0	0.8697E-14
