E/N (Td)	Total collision freq. / N (m3/s)
0.1000E-01	0.6132E-14
0.1059E-01	0.6147E-14
0.1122E-01	0.6164E-14
0.1189E-01	0.6182E-14
0.1260E-01	0.6203E-14
0.1335E-01	0.6225E-14
0.1414E-01	0.6250E-14
0.1498E-01	0.6276E-14
0.1588E-01	0.6305E-14
0.1682E-01	0.6337E-14
0.1782E-01	0.6371E-14
0.1888E-01	0.6409E-14
0.2000E-01	0.6449E-14
0.2119E-01	0.6493E-14
0.2245E-01	0.6541E-14
0.2379E-01	0.6592E-14
0.2520E-01	0.6647E-14
0.2670E-01	0.6706E-14
0.2829E-01	0.6769E-14
0.2998E-01	0.6837E-14
0.3176E-01	0.6910E-14
0.3365E-01	0.6987E-14
0.3565E-01	0.7070E-14
0.3777E-01	0.7157E-14
0.4002E-01	0.7250E-14
0.4240E-01	0.7349E-14
0.4492E-01	0.7453E-14
0.4759E-01	0.7564E-14
0.5042E-01	0.7680E-14
0.5342E-01	0.7803E-14
0.5660E-01	0.7933E-14
0.5996E-01	0.8069E-14
0.6353E-01	0.8212E-14
0.6731E-01	0.8363E-14
0.7131E-01	0.8520E-14
0.7555E-01	0.8685E-14
0.8005E-01	0.8858E-14
0.8481E-01	0.9038E-14
0.8985E-01	0.9227E-14
0.9519E-01	0.9424E-14
0.1009	0.9629E-14
0.1069	0.9838E-14
0.1132	0.1007E-13
0.1199	0.1029E-13
0.1271	0.1053E-13
0.1346	0.1079E-13
0.1426	0.1105E-13
0.1511	0.1132E-13
0.1601	0.1160E-13
0.1696	0.1189E-13
0.1797	0.1220E-13
0.1904	0.1251E-13
0.2018	0.1284E-13
0.2138	0.1317E-13
0.2265	0.1352E-13
0.2399	0.1389E-13
0.2542	0.1426E-13
0.2693	0.1465E-13
0.2853	0.1505E-13
0.3023	0.1547E-13
0.3203	0.1590E-13
0.3394	0.1635E-13
0.3595	0.1681E-13
0.3809	0.1729E-13
0.4036	0.1778E-13
0.4276	0.1829E-13
0.4530	0.1882E-13
0.4800	0.1936E-13
0.5085	0.1992E-13
0.5388	0.2050E-13
0.5708	0.2110E-13
0.6048	0.2172E-13
0.6407	0.2236E-13
0.6788	0.2302E-13
0.7192	0.2370E-13
0.7620	0.2440E-13
0.8073	0.2513E-13
0.8553	0.2588E-13
0.9062	0.2665E-13
0.9601	0.2745E-13
1.017	0.2827E-13
1.078	0.2911E-13
1.142	0.2998E-13
1.210	0.3089E-13
1.282	0.3181E-13
1.358	0.3277E-13
1.439	0.3375E-13
1.524	0.3477E-13
1.615	0.3581E-13
1.711	0.3689E-13
1.813	0.3800E-13
1.921	0.3913E-13
2.035	0.4031E-13
2.156	0.4151E-13
2.284	0.4275E-13
2.420	0.4403E-13
2.564	0.4533E-13
2.716	0.4667E-13
2.878	0.4805E-13
3.049	0.4946E-13
3.230	0.5090E-13
3.423	0.5238E-13
3.626	0.5386E-13
3.842	0.5539E-13
4.070	0.5695E-13
4.312	0.5854E-13
4.569	0.6013E-13
4.841	0.6175E-13
5.129	0.6336E-13
5.434	0.6496E-13
5.757	0.6652E-13
6.099	0.6801E-13
6.462	0.6939E-13
6.847	0.7065E-13
7.254	0.7178E-13
7.685	0.7272E-13
8.142	0.7349E-13
8.627	0.7413E-13
9.140	0.7465E-13
9.683	0.7507E-13
10.26	0.7540E-13
10.87	0.7568E-13
11.52	0.7591E-13
12.20	0.7610E-13
12.93	0.7627E-13
13.70	0.7642E-13
14.51	0.7655E-13
15.37	0.7667E-13
16.29	0.7678E-13
17.26	0.7688E-13
18.28	0.7697E-13
19.37	0.7706E-13
20.52	0.7714E-13
21.74	0.7722E-13
23.04	0.7729E-13
24.41	0.7735E-13
25.86	0.7742E-13
27.40	0.7747E-13
29.03	0.7752E-13
30.75	0.7757E-13
32.58	0.7761E-13
34.52	0.7765E-13
36.57	0.7768E-13
38.75	0.7771E-13
41.05	0.7773E-13
43.49	0.7774E-13
46.08	0.7776E-13
48.82	0.7776E-13
51.73	0.7775E-13
54.80	0.7774E-13
58.06	0.7772E-13
61.52	0.7769E-13
65.18	0.7765E-13
69.05	0.7761E-13
73.16	0.7755E-13
77.51	0.7748E-13
82.12	0.7739E-13
87.01	0.7730E-13
92.18	0.7719E-13
97.66	0.7706E-13
103.5	0.7692E-13
109.6	0.7676E-13
116.1	0.7659E-13
123.1	0.7641E-13
130.4	0.7620E-13
138.1	0.7598E-13
146.3	0.7575E-13
155.0	0.7551E-13
164.3	0.7524E-13
174.0	0.7497E-13
184.4	0.7469E-13
195.4	0.7440E-13
207.0	0.7410E-13
219.3	0.7380E-13
232.3	0.7349E-13
246.2	0.7319E-13
260.8	0.7290E-13
276.3	0.7261E-13
292.7	0.7233E-13
310.2	0.7207E-13
328.6	0.7183E-13
348.2	0.7161E-13
368.9	0.7141E-13
390.8	0.7124E-13
414.0	0.7110E-13
438.7	0.7100E-13
464.8	0.7092E-13
492.4	0.7087E-13
521.7	0.7086E-13
552.7	0.7089E-13
585.6	0.7095E-13
620.4	0.7104E-13
657.3	0.7116E-13
696.4	0.7130E-13
737.9	0.7148E-13
781.7	0.7168E-13
828.2	0.7190E-13
877.5	0.7213E-13
929.7	0.7237E-13
985.0	0.7262E-13
