E/N (Td)	Townsend coefficient / N (m2)
0.1000E-01	0.000
0.1059E-01	0.000
0.1122E-01	0.000
0.1189E-01	0.000
0.1260E-01	0.000
0.1335E-01	0.000
0.1414E-01	0.000
0.1498E-01	0.000
0.1588E-01	0.000
0.1682E-01	0.000
0.1782E-01	0.000
0.1888E-01	0.000
0.2000E-01	0.000
0.2119E-01	0.000
0.2245E-01	0.000
0.2379E-01	0.000
0.2520E-01	0.000
0.2670E-01	0.000
0.2829E-01	0.000
0.2998E-01	0.000
0.3176E-01	0.000
0.3365E-01	0.000
0.3565E-01	0.000
0.3777E-01	0.000
0.4002E-01	0.000
0.4240E-01	0.000
0.4492E-01	0.000
0.4759E-01	0.000
0.5042E-01	0.000
0.5342E-01	0.000
0.5660E-01	0.000
0.5996E-01	0.000
0.6353E-01	0.000
0.6731E-01	0.000
0.7131E-01	0.000
0.7555E-01	0.000
0.8005E-01	0.000
0.8481E-01	0.000
0.8985E-01	0.000
0.9519E-01	0.000
0.1009	0.000
0.1069	0.000
0.1132	0.000
0.1199	0.000
0.1271	0.000
0.1346	0.000
0.1426	0.000
0.1511	0.000
0.1601	0.000
0.1696	0.000
0.1797	0.000
0.1904	0.000
0.2018	0.000
0.2138	0.000
0.2265	0.000
0.2399	0.000
0.2542	0.000
0.2693	0.000
0.2853	0.000
0.3023	0.000
0.3203	0.000
0.3394	0.000
0.3595	0.000
0.3809	0.000
0.4036	0.000
0.4276	0.000
0.4530	0.000
0.4800	0.000
0.5085	0.000
0.5388	0.000
0.5708	0.000
0.6048	0.000
0.6407	0.000
0.6788	0.000
0.7192	0.000
0.7620	0.000
0.8073	0.000
0.8553	0.000
0.9062	0.000
0.9601	0.000
1.017	0.000
1.078	0.000
1.142	0.000
1.210	0.000
1.282	0.000
1.358	0.000
1.439	0.000
1.524	0.000
1.615	0.000
1.711	0.000
1.813	0.000
1.921	0.000
2.035	0.000
2.156	0.000
2.284	0.000
2.420	0.000
2.564	0.000
2.716	0.000
2.878	0.000
3.049	0.000
3.230	0.000
3.423	0.000
3.626	0.000
3.842	0.000
4.070	0.000
4.312	0.000
4.569	0.1672E-29
4.841	0.1178E-28
5.129	0.6620E-28
5.434	0.2957E-27
5.757	0.1119E-26
6.099	0.3652E-26
6.462	0.1044E-25
6.847	0.2650E-25
7.254	0.6057E-25
7.685	0.1263E-24
8.142	0.2431E-24
8.627	0.4375E-24
9.140	0.7429E-24
9.683	0.1199E-23
10.26	0.1864E-23
10.87	0.2785E-23
11.52	0.4016E-23
12.20	0.5677E-23
12.93	0.7810E-23
13.70	0.1052E-22
14.51	0.1391E-22
15.37	0.1810E-22
16.29	0.2318E-22
17.26	0.2931E-22
18.28	0.3657E-22
19.37	0.4518E-22
20.52	0.5515E-22
21.74	0.6684E-22
23.04	0.8018E-22
24.41	0.9543E-22
25.86	0.1127E-21
27.40	0.1322E-21
29.03	0.1542E-21
30.75	0.1787E-21
32.58	0.2058E-21
34.52	0.2359E-21
36.57	0.2689E-21
38.75	0.3050E-21
41.05	0.3449E-21
43.49	0.3884E-21
46.08	0.4352E-21
48.82	0.4859E-21
51.73	0.5414E-21
54.80	0.6010E-21
58.06	0.6649E-21
61.52	0.7331E-21
65.18	0.8068E-21
69.05	0.8855E-21
73.16	0.9693E-21
77.51	0.1058E-20
82.12	0.1152E-20
87.01	0.1253E-20
92.18	0.1358E-20
97.66	0.1469E-20
103.5	0.1586E-20
109.6	0.1710E-20
116.1	0.1838E-20
123.1	0.1973E-20
130.4	0.2112E-20
138.1	0.2258E-20
146.3	0.2409E-20
155.0	0.2564E-20
164.3	0.2723E-20
174.0	0.2886E-20
184.4	0.3052E-20
195.4	0.3222E-20
207.0	0.3393E-20
219.3	0.3566E-20
232.3	0.3739E-20
246.2	0.3912E-20
260.8	0.4083E-20
276.3	0.4253E-20
292.7	0.4419E-20
310.2	0.4582E-20
328.6	0.4740E-20
348.2	0.4893E-20
368.9	0.5040E-20
390.8	0.5179E-20
414.0	0.5311E-20
438.7	0.5432E-20
464.8	0.5547E-20
492.4	0.5653E-20
521.7	0.5747E-20
552.7	0.5832E-20
585.6	0.5905E-20
620.4	0.5965E-20
657.3	0.6014E-20
696.4	0.6050E-20
737.9	0.6072E-20
781.7	0.6081E-20
828.2	0.6075E-20
877.5	0.6055E-20
929.7	0.6021E-20
985.0	0.5972E-20
