Temperatures,+-,Metastables,+-
5.038258827594071221e+01,9.681522103689864878e+01,-6.705779075853689844e+13,4.684946548221667188e+13
2.675606116615672647e+01,5.152902137712779762e+01,-6.377920956538212500e+13,4.185930203417990625e+13
4.441873449966550834e+04,3.412248468380511622e+05,-3.730293338301460625e+14,9.609391993368891250e+14
4.945982952797081111e+02,3.756142318214452644e+03,2.888979384093623047e+13,8.977643167547315625e+13
4.947131698442986476e+02,1.868798790876374142e+03,5.461495467993742969e+13,8.443316386710464062e+13
2.564539439394137617e+02,9.882466255762964238e+02,4.289602423330553125e+13,6.620451571177780469e+13
1.062287557455313163e+02,5.002800304489878727e+02,2.588789669149871875e+13,4.681245529628345312e+13
8.425434260167318712e+01,4.959795948812509323e+02,1.924946899219484375e+13,4.285032465263155469e+13
1.307042464937444747e+05,9.253820059264589101e+06,-2.556235325829984062e+14,9.414650024400464000e+15
1.306041958950215194e+05,6.976103610643940046e+06,-3.474938594828896875e+14,9.653630071808768000e+15
1.305728556139642023e+05,6.224989548723385669e+06,-4.124953579217940000e+14,1.022829070104419200e+16
1.305118526189563709e+05,6.061923554365055636e+06,-4.556122115476867500e+14,1.100711968311356600e+16
8.519987336919783161e+00,2.163689597889035454e+01,-4.754564665952539844e+13,3.377946599119027734e+13
7.385729283380459087e+00,1.706025430074556937e+01,-5.679713661777078906e+13,3.507070381866379297e+13
1.314956743705165864e+05,3.676901008379641920e+06,-7.427307801574507500e+14,1.079351897837306600e+16
1.799642442960823973e+04,6.452093898809704842e+04,-7.201067545089007500e+14,1.113487027120647375e+15
1.064649859907737118e+04,2.027656437543388165e+04,-6.719172944447797500e+14,5.161589487823963750e+14
9.754957873763161842e+03,1.711816785865316342e+04,-6.631994975090140000e+14,4.635632934228408750e+14
6.453862555367572895e+03,9.874135147971483093e+03,-4.672608076330336875e+14,2.711829518000403438e+14
4.270614365979145987e+03,7.059199009199896864e+03,-2.995628774134202500e+14,1.851222648019011562e+14
2.527609681128798456e+03,6.249027919412472329e+03,-1.387243327838162969e+14,1.341858706856520625e+14
4.470757415888065793e+02,2.316350791903575555e+03,-3.876785184894159375e+13,8.187797806610932812e+13
4.197212645006661091e+02,4.259572308558865188e+03,-1.904512429950948828e+13,7.869454682877179688e+13
1.443760598912515647e+01,5.943015494451344694e+01,2.920553367312646094e+13,3.770002999168854688e+13
4.866792938137825786e+02,2.643833680609964722e+04,-3.450114755331935059e+12,7.664284658431367188e+13
1.309995968156996387e+05,2.873226817335098609e+07,-9.134986488179370312e+13,1.041744634301811400e+16
1.277783643962004280e+05,8.993676245034886524e+06,-2.563212443627680625e+14,9.390561233944456000e+15
1.281782003047558246e+05,7.207996093869510107e+06,-3.323636058890530625e+14,9.733242864976170000e+15
1.288662225332031521e+05,5.194094061338700354e+06,-5.112126557558801875e+14,1.071421936204489600e+16
1.292577644297396182e+05,4.680207541014403105e+06,-6.135455525032935000e+14,1.156412856663560000e+16
1.304993069874877110e+05,5.561620689321264625e+06,-5.588274143644370625e+14,1.238773761274975000e+16
1.336476362426799897e+05,4.314470154144732282e+06,-6.131267608560936250e+14,1.026232683042250800e+16
8.925706958066464722e+03,2.952672008285855918e+04,-3.803855084635875000e+14,4.958314505172283750e+14
3.381741494314842839e+03,5.823928023458103780e+03,-2.540533153220162500e+14,1.656107173116214375e+14
4.388997895048376449e+03,8.931109922664574697e+03,-2.657565726163733750e+14,2.020686420910542188e+14
1.386545115532315867e+04,8.072855858366629400e+04,-3.419461174993549375e+14,8.326066261600910000e+14
1.304134684290233563e+05,7.229515953531713225e+06,-3.901138685792298750e+14,1.124933866402116800e+16
1.295822879915474623e+05,6.578284744511510246e+06,-4.533303619647015625e+14,1.197742887257165400e+16
1.282069326566244272e+05,8.332446648883957416e+06,-3.448915040039885000e+14,1.167303321315551000e+16
1.472584631122111354e+01,4.085444763887500130e+01,4.439588668983721875e+13,3.876051073036075781e+13
4.147195404040764402e+02,1.045225737255385411e+03,7.794458270528732812e+13,7.999854496436042188e+13
4.100147674583454886e+02,1.091848192919461553e+03,8.018078046555773438e+13,8.692198188041732812e+13
3.495707078335942128e+02,1.117395824575411098e+03,6.847573757892139062e+13,8.860702371092534375e+13
3.453901761059510136e+02,9.124078574252006320e+02,7.971581545769518750e+13,8.526312994931814062e+13
3.710040148194049721e+02,9.769758784275019252e+02,8.009580868082900000e+13,8.555395624377178125e+13
3.408573553757157697e+02,7.605019935706991419e+02,8.617477412406915625e+13,7.781668221760326562e+13
2.115477077391343812e+02,4.254980601613517592e+02,7.937341189391843750e+13,6.346375730121707031e+13
1.742857379263036819e+02,3.089794216160703400e+02,8.057736252655131250e+13,5.630086874909871875e+13
1.712125897419680314e+02,3.347906287034941784e+02,7.232921235345128125e+13,5.569219798389392188e+13
1.501398143622488988e+02,3.101576633807533199e+02,7.321226977380642188e+13,5.917646848588960938e+13
1.501821759393224909e+02,2.586415441329779128e+02,9.547925949524210938e+13,6.435162759139878125e+13
1.436910902159721388e+02,2.838889372844725472e+02,8.407070205482303125e+13,6.485124331236856250e+13
1.229692779691016256e+02,2.145981152262224612e+02,9.080669252363082812e+13,6.136640083350163281e+13
5.024153699766623322e+04,2.735956133502331795e+05,-3.909957634420798750e+14,5.702634669923393750e+14
5.850730728457479563e+04,2.009898396986501175e+05,-4.884262028926339375e+14,3.175739075850510000e+14
1.110789863328596257e+05,1.187106191315314965e+06,-4.137192435328782500e+14,2.231134811655915250e+15
