Temperatures,+-,Metastables,+-
3.337141659111073864e+02,5.176445666606173290e+03,-9.948198800092927734e+12,6.237615863261653125e+13
4.913851201104467918e+02,6.991578892792137594e+03,-1.077919857446604102e+13,6.273625099352529688e+13
1.289846241090287804e+05,7.346278114389066584e+06,2.925389470125506875e+14,8.675405960531214000e+15
1.842810525345015265e+02,1.523174202975199250e+03,1.525256751937188867e+13,4.979155759591602344e+13
1.299234196331375570e+05,7.699977951131104492e+06,3.205423526021357500e+14,9.887893557955036000e+15
1.300426507270671864e+05,7.299459123084121384e+06,3.692722753471049375e+14,1.078803325854345800e+16
1.290336685407988989e+05,8.630788389340171590e+06,2.981297706095316875e+14,1.036626474870904400e+16
1.272374070586247690e+05,5.637447022880466655e+06,3.516624197419248750e+14,8.114567309934212000e+15
3.202618581532210799e-04,8.700889036664577247e+00,2.238988379909270703e+13,3.385861127471920312e+13
1.271007508303433424e+05,4.524441800186692737e+06,4.128339972704444375e+14,7.653483583431377000e+15
4.179437170987036438e+02,2.137434287584120175e+05,3.070051893077476807e+11,6.519677493898572656e+13
1.267244708909565234e+05,4.005159884572901297e+06,4.568869993593918125e+14,7.519934199066575000e+15
1.276220285485743370e+05,5.854822898549738340e+06,3.555254747209961875e+14,8.494403318258249000e+15
1.583041632396247600e+01,1.997091197644473652e+02,-8.230364907704133789e+12,3.303727664813810938e+13
2.526640124231842321e+01,4.192806781219905474e+02,-6.187243517278418945e+12,3.487797432554874219e+13
5.981345482717952109e+03,1.444725556587227329e+05,-2.494935493781819141e+13,2.280292581316336875e+14
1.413763394803507617e+04,4.417238185658998555e+05,-5.928240662609544531e+13,7.757291323994486250e+14
4.017525001009167340e+02,3.313710507619452073e+03,-1.893504502180662891e+13,6.350615323490528125e+13
3.700285708094669985e+02,3.994107329901172307e+03,-1.363192373525786719e+13,5.967972261544891406e+13
3.755882667648821780e+02,4.733774843698115546e+03,-1.148186672851396484e+13,5.872283377305262500e+13
4.672075465216864245e+02,9.673765514483357038e+03,-7.461541075580866211e+12,6.290608394512193750e+13
5.542233848068582347e+02,7.523654945999123811e+03,-1.172031905873421680e+13,6.537051869385207031e+13
5.323205626092369585e+02,2.005784708901263684e+03,-3.859814793352670312e+13,5.965007904050784375e+13
2.948693007792053322e+02,1.619368631578059194e+03,-2.250119345658029688e+13,4.973055448494430469e+13
1.306650015279430518e+05,5.880953629244788550e+06,3.538417401475973750e+14,8.285826354637540000e+15
8.563693797622484271e+04,2.238691778113266046e+05,5.655196837875741250e+14,5.432663126884942500e+14
1.373995620796108269e+05,2.887888202914713416e+06,5.378988410031541250e+14,5.834850867814982000e+15
1.511252668689898746e+04,7.055838814803089190e+04,4.128211525891886875e+14,8.146550917053782500e+14
1.338141249508039618e+05,4.055063575312734582e+06,5.138356396380966875e+14,8.078393757377459000e+15
6.384689526904643571e+04,1.103477501234344236e+05,7.049145231199266250e+14,2.176398536910527188e+14
1.009768961575860303e+05,4.394275311030975427e+05,4.912560022326100000e+14,1.001190112631103750e+15
1.166591711882371019e+05,1.616462074213086162e+06,3.313679470009066250e+14,2.357994015260594500e+15
1.237424214442739612e+05,3.434303819248952903e+06,3.205674335748060000e+14,4.626466166170371000e+15
1.878835791240173023e+02,9.425201328043287958e+02,2.521418389655254297e+13,5.000409467663075000e+13
2.812742177286634160e+02,1.005170272222534004e+04,-3.862772032515936035e+12,5.546457144532191406e+13
1.051151213684211143e+02,7.179953922280581082e+02,-1.659909612425889844e+13,4.346927166052080469e+13
1.171111858123445160e+01,1.113114869661746525e+03,9.035338000000648193e+11,2.623014298959401953e+13
1.239550139029706770e+02,1.448058550427627551e+03,-9.611073071120281250e+12,4.346007027693684375e+13
1.292903393839988712e+05,6.790352726044788957e+06,3.279172674443706250e+14,8.966500323933251000e+15
1.287901305962987681e+05,5.044176542176524177e+06,4.273336422952865625e+14,8.714082287341518000e+15
1.274176498676142073e+05,3.871260057382110972e+06,4.917116996156715625e+14,7.780471055206706000e+15
1.288721727742593939e+05,5.327525080665196292e+06,4.386857372658136875e+14,9.442994844563258000e+15
1.280257478846691520e+05,4.833168518346090801e+06,4.447093830108398125e+14,8.743233321308797000e+15
8.474816011081034958e+04,3.448189982758002589e+05,3.896216793541622500e+14,5.713856460735640000e+14
1.377095424508051838e+04,1.186268505210536678e+05,1.789708523033506562e+14,6.439153659212627500e+14
1.314049989641908905e+05,1.259340069609455764e+07,1.816027793086880625e+14,9.062106709716522000e+15
4.453421021903559307e+01,1.353765362749091707e+02,3.130367778980111719e+13,3.423642127736852344e+13
8.246525209934887357e+01,1.971820625991725251e+02,4.855108191146545312e+13,4.385463871029639062e+13
4.630072570071425616e+03,1.382379549903267980e+04,1.598607785825284375e+14,1.781715825878981875e+14
7.760619407555177531e+02,8.764263735141643110e+02,1.489893280920725000e+14,6.965015316588739844e+13
1.196490282405252856e+03,9.962203332636435107e+02,2.245306235913811562e+14,7.757485085309200000e+13
1.283154471364015080e+03,1.093972147545357984e+03,2.259812935518421562e+14,7.984873206624912500e+13
1.255284889690794444e+03,1.236428309913436578e+03,1.955995597331114688e+14,7.987345627944101562e+13
1.626954200058557717e+03,1.873461921200454299e+03,1.761329251741207188e+14,8.302040482258040625e+13
1.323207267765240686e+05,5.326834000477891415e+06,4.301835687188145000e+14,8.998669447271256000e+15
1.247868803971623420e+05,3.799831426912564319e+06,4.006309272861093125e+14,6.348499160972404000e+15
4.830702849616582739e+02,4.435282140638910278e+03,-1.841543677792292969e+13,6.912634705618995312e+13
5.121822424577325137e+02,1.993558136068849763e+03,-4.712798276595058594e+13,7.510572123386643750e+13
5.449583691801193481e+02,1.336453825225745959e+03,-7.738650252435114062e+13,7.782164690670100000e+13
6.395601784487039367e+02,1.663327364320347897e+03,-6.908118178601926562e+13,7.397282553743378125e+13
5.701505468402938277e+02,8.652661967147083487e+03,-1.062775966320100781e+13,6.614176036198222656e+13
1.245963222623143083e+05,5.499462993574620225e+06,2.442158728231548438e+14,5.608845546435718000e+15
2.887146124103474776e+01,5.608210660601277908e+01,5.033647596316996094e+13,3.367235625620333984e+13
2.762578049846454675e+01,5.105691673986236623e+01,5.611272397608452344e+13,3.551435730914757812e+13
2.200250610160856102e+00,6.301590239952998829e+00,4.016385321284509375e+13,2.724153284054807812e+13
1.970270777895883008e+00,5.528092243733001787e+00,4.538137514133143750e+13,2.893884123708310547e+13
3.208370047471000408e+00,6.227056157033113770e+00,5.836668475782186719e+13,2.977854354178186719e+13
1.460256060090271291e+01,2.009255323677642480e+01,8.420822901866996875e+13,3.644540589561757812e+13
1.996361304021083427e+01,2.489717970293366278e+01,8.693223783079146875e+13,3.569800559107698438e+13
2.612682220336490602e+01,2.776854243563693814e+01,9.699130149297954688e+13,3.511821458377360938e+13
2.792761642450659210e+01,2.744347657096367143e+01,9.884290977708445312e+13,3.334672594955140625e+13
1.571916444216609818e+02,1.830100250502973154e+02,1.014675623831962031e+14,4.634950424814938281e+13
3.521025458762883886e+02,4.414456809514426823e+02,1.095726291426143906e+14,5.568112098825718750e+13
1.300955099002231727e+05,3.731443017550439108e+06,6.291330739206885000e+14,9.391518885418392000e+15
1.287105118649331271e+05,3.270917461490376852e+06,6.926051706705462500e+14,9.165326346346094000e+15
1.262113233348762587e+05,2.408240317755131517e+06,7.526237722441427500e+14,7.465085304106140000e+15
1.265890862703792372e+05,2.198826491011475213e+06,7.946923521053361250e+14,7.188256986349650000e+15
1.336297668583905033e+05,2.824698728983814362e+06,7.208673280850317500e+14,7.907242698633833000e+15
5.072100828855501398e+00,1.188300393082021778e+01,4.001305355476371875e+13,2.603514225306202344e+13
7.616689791469335447e+00,2.293481713672393596e+01,3.220793860636394141e+13,2.782690357886069141e+13
2.992621799958422707e+04,2.845133277610742953e+05,4.078577955364948750e+14,1.694787437207036000e+15
1.242116752463139839e+01,1.430366863952278038e+02,8.360001201289865234e+12,2.949539406741977344e+13
5.235640623491394052e+01,5.519012983377806449e+02,-9.476726012849074219e+12,3.643694134772128125e+13
1.307819402526113263e+05,9.669339485140690580e+06,2.368257370349750312e+14,9.085033499892580000e+15
7.476718188761399688e+03,3.921591661509218102e+04,1.282524493382714531e+14,2.591752470187670938e+14
1.351603883467271226e+05,6.274806935112680309e+06,2.507823775261054062e+14,6.049664473212279000e+15
6.778775756736467883e+01,1.037834376415281810e+02,6.228607493855089062e+13,3.552063176900380469e+13
4.855739510039850160e+01,4.770814960348720035e+01,8.791556142805992188e+13,3.135142181724660156e+13
4.282428147723167378e+00,4.832633753665574794e+00,6.838904001962337500e+13,2.111110382926383984e+13
5.641920480662068194e+00,6.953656331129624668e+00,6.432936321605285156e+13,2.217210071843560156e+13
2.026832666216644441e+01,2.659182021838461196e+01,6.294241843577665625e+13,2.724471440777599219e+13
9.566601120117715254e+03,2.943607491225923513e+04,2.730021732808613750e+14,3.335915091155114375e+14
1.178542835380122369e+03,1.575923673998360300e+03,1.211282845541425469e+14,6.721487940023678125e+13
4.211861751303968049e+02,6.114260363928605102e+02,8.593325400909412500e+13,5.084508306836287500e+13
5.890394397036452574e+02,1.054166890641273540e+03,8.240710835712564062e+13,6.068000272750257031e+13
