Temperatures,+-,Metastables,+-
1.751100298463229308e+02,3.385703582130466316e+01,6.567082317510775000e+14,5.369031120474732031e+13
1.731865644313458290e+02,3.176760099668157267e+01,6.947033733278761250e+14,5.388945595648388281e+13
1.933967123584004355e+02,3.550539596032125189e+01,7.216150909213161250e+14,5.611416404411964062e+13
2.029216263891230199e+02,3.666200831084237421e+01,7.284233180723992500e+14,5.577279466849414062e+13
2.088538193054267254e+02,3.567595602753227979e+01,7.342324216210383750e+14,5.317940143639116406e+13
2.358589339860074290e+02,4.212751235799050420e+01,7.441304357513138750e+14,5.642270296716858594e+13
2.426132978227986143e+02,4.471824633505753610e+01,7.397770460467040000e+14,5.790812757923814844e+13
2.555305521858890074e+02,5.023324505268487883e+01,7.430479112297381250e+14,6.205386710785456250e+13
2.585907903904654290e+02,5.347547767114959782e+01,7.352928232997768750e+14,6.459977115055439062e+13
2.627127276147934936e+02,5.586438441492197882e+01,7.383483628552161250e+14,6.672770590839508594e+13
2.686051596813918536e+02,5.722735544096975246e+01,7.474337620129007500e+14,6.769802916596760938e+13
2.590776613372615316e+02,5.230251207895804555e+01,7.497873033802030000e+14,6.431908061991992969e+13
2.477288330926353979e+02,4.459398406734656106e+01,7.380162616570103750e+14,5.642035834231570312e+13
2.405078726079574665e+02,3.956196185172670710e+01,7.289668119033142500e+14,5.091133254973424219e+13
2.421518770581087381e+02,4.292640398346834019e+01,7.054216149802768750e+14,5.307937552001520312e+13
2.288953336346458229e+02,4.308648383511290092e+01,6.542472367719926250e+14,5.222621672378700000e+13
2.200733019208004748e+02,4.274104861729264115e+01,6.395291868316383750e+14,5.264706925304776562e+13
2.124312316697659071e+02,4.338297452393695153e+01,6.278920881176011250e+14,5.431592491942514062e+13
2.095770803760236163e+02,4.029679792791417725e+01,6.126996407989415000e+14,4.988430433285246875e+13
2.095678142839332168e+02,3.911410163522690198e+01,6.112523390632955000e+14,4.831091501558078906e+13
2.061361452935285570e+02,4.120843894136086760e+01,6.179307048694776250e+14,5.231103522305725000e+13
2.147679429395342936e+02,4.143649571721256564e+01,6.364838647193131250e+14,5.202802888014646875e+13
2.239352620085828676e+02,4.153017683101011670e+01,6.587642208566298750e+14,5.179578386981788281e+13
2.238888840463650070e+02,4.366711075120552721e+01,6.575895968894195000e+14,5.437470624065171875e+13
2.315221554167250986e+02,4.357653420333194560e+01,6.613313982962481250e+14,5.279283163759968750e+13
2.566367951537722547e+02,4.365427025690770080e+01,6.932880369840701250e+14,5.008841853027592188e+13
2.723208422114682321e+02,4.718111043214430111e+01,7.004042791943662500e+14,5.156949044773280469e+13
2.697623001528826876e+02,4.780702167910384759e+01,6.923628546298303750e+14,5.213583482563488281e+13
2.725703826803138554e+02,4.959078807803340538e+01,7.099919651137046250e+14,5.489454522670766406e+13
2.864765124802886476e+02,5.367490410391102529e+01,7.114900612382422500e+14,5.667617917376342969e+13
2.882325105247797978e+02,6.058449307447884280e+01,7.063771407549585000e+14,6.313634196947263281e+13
2.755862883008471158e+02,6.122510795358250135e+01,6.992772711706143750e+14,6.601686785022304688e+13
2.612896294569683846e+02,5.883901834916889584e+01,6.753949222637706250e+14,6.458847823583265625e+13
2.487932003389980764e+02,5.263212087316843935e+01,6.871077617639776250e+14,6.170741394525405469e+13
2.284247673643465646e+02,4.307705920590914417e+01,6.866088594417881250e+14,5.492313680604091406e+13
2.016069819853629213e+02,3.352112684975206491e+01,6.667654415902513750e+14,4.695345146988906250e+13
