Temperatures,+-
-inf,-inf
2.841937289508020825e-01,-5.080616508972207734e-01
3.068675641269766885e-01,-5.350204835643354029e-01
3.227450848452600440e-01,-5.550318448130630022e-01
3.351874258415538654e-01,-5.713570725693872809e-01
3.454662423600787236e-01,-5.853236735720743766e-01
3.542244347251518044e-01,-5.976290291505332863e-01
3.618396083430627796e-01,-6.086905749925690667e-01
3.685552691651276525e-01,-6.187798045430212834e-01
3.745390097942049024e-01,-6.280838513581554761e-01
3.799117665408029421e-01,-6.367373634479116529e-01
3.847641631444349009e-01,-6.448407675530322125e-01
3.891659758467616581e-01,-6.524703740791705231e-01
3.931723404841165337e-01,-6.596862240282903578e-01
3.968277416757390319e-01,-6.665360984749986173e-01
4.001685992881666154e-01,-6.730584837599533632e-01
4.032252414542166763e-01,-6.792849372307565581e-01
4.060232223203993351e-01,-6.852416302705529594e-01
4.085843803819657616e-01,-6.909505880226340935e-01
4.109275332969319905e-01,-6.964302660961597669e-01
4.130690629117013124e-01,-7.016965293203799581e-01
4.150233693242041388e-01,-7.067628048491804149e-01
4.168032523284824764e-01,-7.116409975545521238e-01
4.184200624821450831e-01,-7.163411624898755603e-01
4.198840721097831241e-01,-7.208721517081025931e-01
4.212045438617103010e-01,-7.252419593619122695e-01
4.223890665581239157e-01,-7.294578141344113531e-01
4.234438512531498167e-01,-7.335265195297373531e-01
4.243745035382827657e-01,-7.374539365053297546e-01
4.251863547602194315e-01,-7.412452843610931597e-01
4.258842756666268992e-01,-7.449052125326833806e-01
4.264729839250456234e-01,-7.484377708983147581e-01
4.269569383735785650e-01,-7.518467673444744204e-01
4.273402698933312371e-01,-7.551350041202191665e-01
4.276272345002626318e-01,-7.583057670340012102e-01
4.278216128881229263e-01,-7.613614398187039667e-01
4.279274009164754089e-01,-7.643044993033657475e-01
4.279482307327138191e-01,-7.671371006500335987e-01
4.278878111233725967e-01,-7.698612513060854035e-01
4.277496697635222445e-01,-7.724785862484954135e-01
4.275373489138162841e-01,-7.749910133386934685e-01
4.272542923547238414e-01,-7.774001042404036221e-01
4.269038987358733106e-01,-7.797074249489008846e-01
4.264894275291678527e-01,-7.819145419783896100e-01
4.260141497161630819e-01,-7.840226990857297462e-01
4.254812407592525325e-01,-7.860335845535175725e-01
4.248938482865096677e-01,-7.879485966075846504e-01
4.242549966149452567e-01,-7.897690195213812325e-01
4.235676665796434537e-01,-7.914964130304822376e-01
4.228348068555308759e-01,-7.931322408103821386e-01
4.220591981695599459e-01,-7.946778182673271962e-01
