Temperatures,+-
-inf,-inf
3.451839369896609333e-01,-5.795430481738361728e-01
3.838617816553808737e-01,-6.297660593695086906e-01
4.098879383377716512e-01,-6.658712091005631883e-01
4.297849391717897261e-01,-6.952087946142163633e-01
4.459847857387637671e-01,-7.204593524954997497e-01
4.596937509778226127e-01,-7.429231930829414132e-01
4.716057821214689749e-01,-7.633377278926138931e-01
4.821590463252368730e-01,-7.821651253045583951e-01
4.916485209214938035e-01,-7.997169115832383213e-01
5.002827055695421299e-01,-8.162138170617916355e-01
5.082141427673853018e-01,-8.318193073841344543e-01
5.155580983567514819e-01,-8.466581738958702807e-01
5.224036156302802603e-01,-8.608277773668644439e-01
5.288209464187153541e-01,-8.744066668007469678e-01
5.348664347091518501e-01,-8.874587351789077205e-01
5.405859742729089978e-01,-9.000368016155160245e-01
5.460174665882749911e-01,-9.121853516801409212e-01
5.511923962638058949e-01,-9.239422319418487684e-01
5.561374609872437036e-01,-9.353396500664221680e-01
5.608754301457704594e-01,-9.464059900531531788e-01
5.654254023793440220e-01,-9.571656047038539228e-01
5.698044371654541473e-01,-9.676402637113149519e-01
5.740269103300730258e-01,-9.778487354548469623e-01
5.781056594537370419e-01,-9.878082274294550658e-01
5.820519648770681176e-01,-9.975338711981007744e-01
5.858755620632394301e-01,-1.007039322709015750e+00
5.895854761568324331e-01,-1.016337507453701994e+00
5.931894270670274860e-01,-1.025438992206065159e+00
5.966945147087854284e-01,-1.034354240997550134e+00
6.001070822645099279e-01,-1.043092642609042109e+00
6.034328457632628373e-01,-1.051662747665846220e+00
6.066770274561789078e-01,-1.060072617955010843e+00
6.098443216830131686e-01,-1.068329334186272073e+00
6.129388994395946755e-01,-1.076439703038924112e+00
6.159650317456986102e-01,-1.084409875687610381e+00
6.189259724449188704e-01,-1.092245701625762289e+00
6.218251495471220913e-01,-1.099952514696546535e+00
6.246657437856587558e-01,-1.107535550103564415e+00
6.274503747695091560e-01,-1.114999405842368452e+00
6.301816701272994203e-01,-1.122348636396791832e+00
6.328621245448534660e-01,-1.129587266693711678e+00
6.354940070124104334e-01,-1.136719006213936067e+00
6.380793147590769765e-01,-1.143747911522038363e+00
6.406200361047171832e-01,-1.150677276632923185e+00
6.431179245865372707e-01,-1.157510114603547136e+00
6.455747195154587503e-01,-1.164249826723667836e+00
6.479920407329189391e-01,-1.170899532158471645e+00
6.503714164914630169e-01,-1.177461532860428317e+00
6.527140630522629827e-01,-1.183938491548367944e+00
6.550216225302302187e-01,-1.190333102562857626e+00
6.572949141485107116e-01,-1.196648219558872572e+00
6.595355222620451485e-01,-1.202885009812862727e+00
6.617441866058741962e-01,-1.209046166751596374e+00
6.639222289905215568e-01,-1.215133793406019347e+00
6.660703801748107944e-01,-1.221149805709254688e+00
6.681898611182998104e-01,-1.227096039104243808e+00
6.702812296307059103e-01,-1.232974259024186781e+00
6.723456926303399417e-01,-1.238786182752421139e+00
6.743836825222730980e-01,-1.244533647113307051e+00
6.763963411134785719e-01,-1.250217896967798836e+00
6.783839589905077405e-01,-1.255840158323523692e+00
6.803476158406975838e-01,-1.261402731043550496e+00
6.822878772498326416e-01,-1.266906438421024017e+00
6.842051719672679333e-01,-1.272352537905819814e+00
6.861002534875975112e-01,-1.277742603616157657e+00
6.879737878986633692e-01,-1.283078087687294033e+00
6.898261313627888081e-01,-1.288359685847057623e+00
6.916579280393060358e-01,-1.293588560578627034e+00
6.934696408428140391e-01,-1.298766062150360945e+00
6.952617448284911239e-01,-1.303893363874171207e+00
6.970347655681887744e-01,-1.308971109784422104e+00
6.987889868867823706e-01,-1.314000603318230098e+00
7.005251224863073833e-01,-1.318982423029773532e+00
7.022434052628844237e-01,-1.323918088471766952e+00
7.039442664733226440e-01,-1.328808367173732297e+00
7.056280484872793357e-01,-1.333653522696812255e+00
7.072951326256187166e-01,-1.338455045129089971e+00
7.089458433312417762e-01,-1.343213515840774530e+00
7.105806258882541027e-01,-1.347929950584592973e+00
7.121996773591628971e-01,-1.352604420598809698e+00
7.138034037001708132e-01,-1.357238429632990018e+00
7.153919541032769391e-01,-1.361832455435650902e+00
7.169659009370987768e-01,-1.366386730510029235e+00
7.185252744155872229e-01,-1.370902536166995311e+00
7.200705098034119178e-01,-1.375379751342465928e+00
7.216017464615956944e-01,-1.379820232483111031e+00
7.231191956708945545e-01,-1.384223363758525727e+00
7.246233841836160483e-01,-1.388590617579597675e+00
7.261142959999524749e-01,-1.392921731447355871e+00
7.275920947250070769e-01,-1.397217789985192971e+00
7.290574144692300029e-01,-1.401479557534874409e+00
7.305100772904866702e-01,-1.405707181569485931e+00
7.319503858372562455e-01,-1.409901200215740724e+00
7.333786734836355015e-01,-1.414062309248403926e+00
7.347949846363357462e-01,-1.418190919945587769e+00
7.361996041734725216e-01,-1.422287102836966577e+00
7.375926986522305384e-01,-1.426351792492660975e+00
7.389743902615739657e-01,-1.430385487385693821e+00
7.403451380293303297e-01,-1.434389015076946494e+00
7.417047677473200817e-01,-1.438361697805471406e+00
7.430535828955139310e-01,-1.442304490862371891e+00
7.443917035130380722e-01,-1.446218107746356063e+00
7.457194249006703357e-01,-1.450102624236976556e+00
7.470367688218025881e-01,-1.453958559320596367e+00
7.483439326166706484e-01,-1.457786248169914645e+00
7.496410168108257333e-01,-1.461586073676779396e+00
7.509283105687225568e-01,-1.465358541947118898e+00
7.522057573386055074e-01,-1.469103643963319605e+00
7.534736951115050818e-01,-1.472821969857111890e+00
7.547319731364368067e-01,-1.476514103990152815e+00
7.559812243589406622e-01,-1.480180120465976801e+00
7.572210222839779181e-01,-1.483820114927192568e+00
7.584518646398266117e-01,-1.487434768664128937e+00
7.596736852489428538e-01,-1.491024555616787817e+00
7.608866154463292952e-01,-1.494589506999976614e+00
7.620910345438709488e-01,-1.498129602385282810e+00
7.632865815514727759e-01,-1.501646049881924405e+00
7.644737549973568136e-01,-1.505137809583539044e+00
7.656526947989750198e-01,-1.508606960151055221e+00
7.668232307403448633e-01,-1.512052255152145364e+00
7.679854922414468543e-01,-1.515474118269302561e+00
7.691397696008611673e-01,-1.518873874472991714e+00
7.702862146927553777e-01,-1.522250835924114032e+00
7.714246769360602052e-01,-1.525605622404457851e+00
7.725553696130312842e-01,-1.528938406026080887e+00
7.736783875308216318e-01,-1.532249264908463360e+00
7.747938235718991873e-01,-1.535538535814172878e+00
7.759017223473079206e-01,-1.538806945596629561e+00
7.770023122711989805e-01,-1.542054173336641743e+00
7.780954858332017610e-01,-1.545280889398981117e+00
7.791813757013478225e-01,-1.548486466963745256e+00
7.802603988079278574e-01,-1.551672186097068140e+00
7.813321021699384250e-01,-1.554837628613531919e+00
7.823970066883717545e-01,-1.557982946987554129e+00
7.834548883469629743e-01,-1.561108659925615427e+00
7.845059779789641530e-01,-1.564215189866460465e+00
7.855503469733484678e-01,-1.567302123064333585e+00
7.865879937871852468e-01,-1.570370182976449813e+00
7.876190850036245417e-01,-1.573419174599534065e+00
7.886434696030124591e-01,-1.576449420204252938e+00
7.896617142390127686e-01,-1.579461540126463559e+00
7.906733230918729927e-01,-1.582455318684463208e+00
7.916787231858337659e-01,-1.585430459455138053e+00
7.926778498969583309e-01,-1.588388101795465301e+00
7.936708189063772512e-01,-1.591327888024948845e+00
7.946574417039575788e-01,-1.594249897889377321e+00
7.956382754075088659e-01,-1.597154462266062058e+00
7.966130412438104935e-01,-1.600041670111736147e+00
7.975817219488697818e-01,-1.602911711423550933e+00
7.985446790501498082e-01,-1.605765242193639253e+00
7.995016758292839976e-01,-1.608601668360132297e+00
8.004529544046490308e-01,-1.611421421984055469e+00
8.013985375239940367e-01,-1.614224901246781751e+00
8.023383850726384381e-01,-1.617011592378065021e+00
8.032725799717924664e-01,-1.619782087046084396e+00
8.042012581812761907e-01,-1.622536927556768926e+00
8.051246325218842648e-01,-1.625275301408320328e+00
8.060423291974810889e-01,-1.627998292590123519e+00
