Temperatures,310->211/300->201
1.000000000000000056e-01,inf
1.000760455262178356e-01,1.481727738275534945e+00
1.001521488816562722e-01,1.475463919776990540e+00
1.002283101102918045e-01,1.473371627305245735e+00
1.003045292561344365e-01,1.472321268843328035e+00
1.003808063632275899e-01,1.471687446711412273e+00
1.004571414756482151e-01,1.471261764308422704e+00
1.005335346375067912e-01,1.470954923456849084e+00
1.006099858929472707e-01,1.470722277996678207e+00
1.006864952861472873e-01,1.470539024087522018e+00
1.007630628613179341e-01,1.470390277881838292e+00
1.008396886627040273e-01,1.470266565884666532e+00
1.009163727345840367e-01,1.470161570323221145e+00
1.009931151212700023e-01,1.470070915191892258e+00
1.010699158671077846e-01,1.469991472595505444e+00
1.011467750164768420e-01,1.469920946567518705e+00
1.012236926137904947e-01,1.469857612959406090e+00
1.013006687034957998e-01,1.469800151132119037e+00
1.013777033300735653e-01,1.469747531746203872e+00
1.014547965380385025e-01,1.469698939980933705e+00
1.015319483719390875e-01,1.469653721781071232e+00
1.016091588763577414e-01,1.469611345454379325e+00
1.016864280959108163e-01,1.469571373734690267e+00
1.017637560752484710e-01,1.469533443124539263e+00
1.018411428590549478e-01,1.469497248393361044e+00
1.019185884920483787e-01,1.469462530786888710e+00
1.019960930189809517e-01,1.469429068947760042e+00
1.020736564846388972e-01,1.469396671843558044e+00
1.021512789338424182e-01,1.469365173199536745e+00
1.022289604114459405e-01,1.469334427071860683e+00
1.023067009623378487e-01,1.469304304294233088e+00
1.023845006314407918e-01,1.469274689599605832e+00
1.024623594637114610e-01,1.469245479268138865e+00
1.025402775041408532e-01,1.469216579188529215e+00
1.026182547977541326e-01,1.469187903246263138e+00
1.026962913896106444e-01,1.469159371971957562e+00
1.027743873248041090e-01,1.469130911397647177e+00
1.028525426484624139e-01,1.469102452079970922e+00
1.029307574057478497e-01,1.469073928257666362e+00
1.030090316418570823e-01,1.469045277117244641e+00
1.030873654020210278e-01,1.469016438145711811e+00
1.031657587315051305e-01,1.468987352553060566e+00
1.032442116756091266e-01,1.468957962750254698e+00
1.033227242796672940e-01,1.468928211870762501e+00
1.034012965890483970e-01,1.468898043325496783e+00
1.034799286491556031e-01,1.468867400382413368e+00
1.035586205054267184e-01,1.468836225763088699e+00
1.036373722033340078e-01,1.468804461249376248e+00
1.037161837883843751e-01,1.468772047293811056e+00
1.037950553061193354e-01,1.468738922627801369e+00
1.038739868021149593e-01,1.468705023861842873e+00
1.039529783219821091e-01,1.468670285072041892e+00
1.040320299113661612e-01,1.468634637367121965e+00
1.041111416159473668e-01,1.468598008429844448e+00
1.041903134814406301e-01,1.468560322026382314e+00
1.042695455535956051e-01,1.468521497476621418e+00
1.043488378781968068e-01,1.468481449077645440e+00
1.044281905010634726e-01,1.468440085471732326e+00
1.045076034680497701e-01,1.468397308949044966e+00
1.045870768250447280e-01,1.468353014673791090e+00
1.046666106179721806e-01,1.468307089820909184e+00
1.047462048927910172e-01,1.468259412608233117e+00
1.048258596954949606e-01,1.468209851206557559e+00
1.049055750721127750e-01,1.468158262506912948e+00
1.049853510687082242e-01,1.468104490720593791e+00
1.050651877313800719e-01,1.468048365782862241e+00
1.051450851062621789e-01,1.467989701525590274e+00
1.052250432395234331e-01,1.467928293577138499e+00
1.053050621773678752e-01,1.467863916939160074e+00
1.053851419660346983e-01,1.467796323179322959e+00
1.054652826517981784e-01,1.467725237165596885e+00
1.055454842809678967e-01,1.467650353251000794e+00
1.056257468998885174e-01,1.467571330796577422e+00
1.057060705549400653e-01,1.467487788893503398e+00
1.057864552925377871e-01,1.467399300110955984e+00
1.058669011591321929e-01,1.467305383052204926e+00
1.059474082012091950e-01,1.467205493444183828e+00
1.060279764652899692e-01,1.467099013411053532e+00
1.061086059979311491e-01,1.466985238483841325e+00
1.061892968457246872e-01,1.466863361767469787e+00
1.062700490552980354e-01,1.466732454511120221e+00
1.063508626733141171e-01,1.466591442090373842e+00
1.064317377464712444e-01,1.466439074084441962e+00
1.065126743215033533e-01,1.466273886681580763e+00
1.065936724451798379e-01,1.466094155014673772e+00
1.066747321643056884e-01,1.465897832132354583e+00
1.067558535257215335e-01,1.465682470018810246e+00
1.068370365763035013e-01,1.465445116183552665e+00
1.069182813629635243e-01,1.465182176525041680e+00
1.069995879326490623e-01,1.464889230897039818e+00
1.070809563323433522e-01,1.464560781184967020e+00
1.071623866090654076e-01,1.464189901207205713e+00
1.072438788098698526e-01,1.463767740704501330e+00
1.073254329818472685e-01,1.463282807172824551e+00
1.074070491721238890e-01,1.462719900089735958e+00
1.074887274278618771e-01,1.462058484019545412e+00
1.075704677962592698e-01,1.461270122779748881e+00
1.076522703245499230e-01,1.460314275172879483e+00
1.077341350600037051e-01,1.459131086296307167e+00
1.078160620499263173e-01,1.457628330931851401e+00
1.078980513416595288e-01,1.455656109008005350e+00
1.079801029825811221e-01,1.452953404880809041e+00
1.080622170201047810e-01,1.449021709183478501e+00
1.081443935016804109e-01,1.442775367964588051e+00
1.082266324747938463e-01,1.431316402261317400e+00
1.083089339869671430e-01,1.403444096490908510e+00
1.083912980857584946e-01,1.234863668394826197e+00
1.084737248187621489e-01,0.000000000000000000e+00
1.085562142336086860e-01,0.000000000000000000e+00
1.086387663779647961e-01,0.000000000000000000e+00
1.087213812995334872e-01,0.000000000000000000e+00
1.088040590460540441e-01,0.000000000000000000e+00
1.088867996653019865e-01,0.000000000000000000e+00
1.089696032050892494e-01,0.000000000000000000e+00
1.090524697132640441e-01,0.000000000000000000e+00
1.091353992377110393e-01,0.000000000000000000e+00
1.092183918263513187e-01,0.000000000000000000e+00
1.093014475271423258e-01,0.000000000000000000e+00
1.093845663880780861e-01,0.000000000000000000e+00
1.094677484571889986e-01,0.000000000000000000e+00
1.095509937825420860e-01,0.000000000000000000e+00
1.096343024122409110e-01,0.000000000000000000e+00
1.097176743944255489e-01,0.000000000000000000e+00
1.098011097772727956e-01,0.000000000000000000e+00
1.098846086089959456e-01,0.000000000000000000e+00
1.099681709378450972e-01,0.000000000000000000e+00
1.100517968121069029e-01,0.000000000000000000e+00
1.101354862801048606e-01,0.000000000000000000e+00
1.102192393901991613e-01,0.000000000000000000e+00
1.103030561907867302e-01,0.000000000000000000e+00
1.103869367303013799e-01,0.000000000000000000e+00
1.104708810572137129e-01,0.000000000000000000e+00
1.105548892200311495e-01,0.000000000000000000e+00
1.106389612672980943e-01,0.000000000000000000e+00
1.107230972475957559e-01,0.000000000000000000e+00
1.108072972095424102e-01,0.000000000000000000e+00
1.108915612017931651e-01,0.000000000000000000e+00
1.109758892730402374e-01,0.000000000000000000e+00
1.110602814720128700e-01,0.000000000000000000e+00
1.111447378474772762e-01,0.000000000000000000e+00
1.112292584482368479e-01,0.000000000000000000e+00
1.113138433231320029e-01,0.000000000000000000e+00
1.113984925210403792e-01,0.000000000000000000e+00
1.114832060908767658e-01,0.000000000000000000e+00
1.115679840815930884e-01,0.000000000000000000e+00
1.116528265421786043e-01,0.000000000000000000e+00
1.117377335216596795e-01,0.000000000000000000e+00
1.118227050691001090e-01,0.000000000000000000e+00
1.119077412336009630e-01,0.000000000000000000e+00
1.119928420643005462e-01,0.000000000000000000e+00
1.120780076103746747e-01,0.000000000000000000e+00
1.121632379210364544e-01,0.000000000000000000e+00
1.122485330455364749e-01,0.000000000000000000e+00
1.123338930331627822e-01,0.000000000000000000e+00
1.124193179332408227e-01,0.000000000000000000e+00
1.125048077951336933e-01,0.000000000000000000e+00
1.125903626682418640e-01,0.000000000000000000e+00
1.126759826020034966e-01,0.000000000000000000e+00
1.127616676458943340e-01,0.000000000000000000e+00
1.128474178494276586e-01,0.000000000000000000e+00
1.129332332621545282e-01,0.000000000000000000e+00
1.130191139336635536e-01,0.000000000000000000e+00
1.131050599135811352e-01,0.000000000000000000e+00
1.131910712515714484e-01,0.000000000000000000e+00
1.132771479973363055e-01,0.000000000000000000e+00
1.133632902006154741e-01,0.000000000000000000e+00
1.134494979111863866e-01,0.000000000000000000e+00
1.135357711788644308e-01,0.000000000000000000e+00
1.136221100535029088e-01,0.000000000000000000e+00
1.137085145849928980e-01,0.000000000000000000e+00
1.137949848232635702e-01,0.000000000000000000e+00
1.138815208182819283e-01,0.000000000000000000e+00
1.139681226200530695e-01,0.000000000000000000e+00
1.140547902786201023e-01,0.000000000000000000e+00
1.141415238440641328e-01,0.000000000000000000e+00
1.142283233665044306e-01,0.000000000000000000e+00
1.143151888960983048e-01,0.000000000000000000e+00
1.144021204830412558e-01,0.000000000000000000e+00
1.144891181775669758e-01,0.000000000000000000e+00
1.145761820299472655e-01,0.000000000000000000e+00
1.146633120904922698e-01,0.000000000000000000e+00
1.147505084095502836e-01,0.000000000000000000e+00
1.148377710375080019e-01,0.000000000000000000e+00
1.149251000247903109e-01,0.000000000000000000e+00
1.150124954218605250e-01,0.000000000000000000e+00
1.150999572792203718e-01,0.000000000000000000e+00
1.151874856474098680e-01,0.000000000000000000e+00
1.152750805770075271e-01,0.000000000000000000e+00
1.153627421186303736e-01,0.000000000000000000e+00
1.154504703229338181e-01,0.000000000000000000e+00
1.155382652406118926e-01,0.000000000000000000e+00
1.156261269223970711e-01,0.000000000000000000e+00
1.157140554190605325e-01,0.000000000000000000e+00
1.158020507814119665e-01,0.000000000000000000e+00
1.158901130602997265e-01,0.000000000000000000e+00
1.159782423066109125e-01,0.000000000000000000e+00
1.160664385712711633e-01,0.000000000000000000e+00
1.161547019052449892e-01,0.000000000000000000e+00
1.162430323595356196e-01,0.000000000000000000e+00
1.163314299851850031e-01,0.000000000000000000e+00
1.164198948332740013e-01,0.000000000000000000e+00
1.165084269549222090e-01,0.000000000000000000e+00
1.165970264012882313e-01,0.000000000000000000e+00
1.166856932235694477e-01,0.000000000000000000e+00
1.167744274730022347e-01,0.000000000000000000e+00
1.168632292008619789e-01,0.000000000000000000e+00
1.169520984584629247e-01,0.000000000000000000e+00
1.170410352971584939e-01,0.000000000000000000e+00
1.171300397683410210e-01,0.000000000000000000e+00
1.172191119234420181e-01,0.000000000000000000e+00
1.173082518139321045e-01,0.000000000000000000e+00
1.173974594913209518e-01,0.000000000000000000e+00
1.174867350071575195e-01,0.000000000000000000e+00
1.175760784130298747e-01,1.900249528137242461e+00
1.176654897605653588e-01,1.549517917357029262e+00
1.177549691014306010e-01,1.515307955436232090e+00
1.178445164873314355e-01,1.502371864405232849e+00
1.179341319700131230e-01,1.495572272870067110e+00
1.180238156012601430e-01,1.491379860596460327e+00
1.181135674328964991e-01,1.488536367750716849e+00
1.182033875167855241e-01,1.486481002098976933e+00
1.182932759048299781e-01,1.484925990507441451e+00
1.183832326489721448e-01,1.483708459216319220e+00
1.184732578011937487e-01,1.482729305517923590e+00
1.185633514135160799e-01,1.481924769560072574e+00
1.186535135380000217e-01,1.481251968731869262e+00
1.187437442267459398e-01,1.480680999287441679e+00
1.188340435318939597e-01,1.480190371517504211e+00
1.189244115056237172e-01,1.479764244912945337e+00
1.190148482001546631e-01,1.479390686321324866e+00
1.191053536677458280e-01,1.479060535152814992e+00
1.191959279606960853e-01,1.478766642362187467e+00
1.192865711313440547e-01,1.478503347048951699e+00
1.193772832320681015e-01,1.478266108398542888e+00
1.194680643152864763e-01,1.478051241711783481e+00
1.195589144334573417e-01,1.477855725725861546e+00
1.196498336390785927e-01,1.477677059731428155e+00
1.197408219846882171e-01,1.477513156091594171e+00
1.198318795228640460e-01,1.477362258335259915e+00
1.199230063062239615e-01,1.477222877996155370e+00
1.200142023874257724e-01,1.477093745376193201e+00
1.201054678191674219e-01,1.476973770778717387e+00
1.201968026541869322e-01,1.476862013703133414e+00
1.202882069452623215e-01,1.476757658156551134e+00
1.203796807452118534e-01,1.476659992710742442e+00
1.204712241068939260e-01,1.476568394273342744e+00
1.205628370832070861e-01,1.476482314790547701e+00
1.206545197270901953e-01,1.476401270281583189e+00
1.207462720915222637e-01,1.476324831741445465e+00
1.208380942295226995e-01,1.476252617550812385e+00
1.209299861941511567e-01,1.476184287109638005e+00
1.210219480385076457e-01,1.476119535470287625e+00
1.211139798157326447e-01,1.476058088791804224e+00
1.212060815790068774e-01,1.475999700472366838e+00
1.212982533815516878e-01,1.475944147844778787e+00
1.213904952766287210e-01,1.475891229341605992e+00
1.214828073175402701e-01,1.475840762053910016e+00
1.215751895576291236e-01,1.475792579621253653e+00
1.216676420502785516e-01,1.475746530401700340e+00
1.217601648489125554e-01,1.475702475879396403e+00
1.218527580069956179e-01,1.475660289274508763e+00
1.219454215780329809e-01,1.475619854326150726e+00
1.220381556155705899e-01,1.475581064223680405e+00
1.221309601731949829e-01,1.475543820665696559e+00
1.222238353045336234e-01,1.475508033029274024e+00
1.223167810632545677e-01,1.475473617634661672e+00
1.224097975030668389e-01,1.475440497092889824e+00
1.225028846777202612e-01,1.475408599725572589e+00
1.225960426410054732e-01,1.475377033660838277e+00
1.226892714467540946e-01,1.475344724440694977e+00
1.227825711488386012e-01,1.475311561960171769e+00
1.228759418011725335e-01,1.475277438771194882e+00
1.229693834577103850e-01,1.475242246530505952e+00
1.230628961724476306e-01,1.475205874403677564e+00
1.231564799994209064e-01,1.475168207574145018e+00
1.232501349927078299e-01,1.475129125798266383e+00
1.233438612064272633e-01,1.475088501956433484e+00
1.234376586947390775e-01,1.475046200555498732e+00
1.235315275118444717e-01,1.475002076140017993e+00
1.236254677119858203e-01,1.474955971569612556e+00
1.237194793494466594e-01,1.474907716117306533e+00
1.238135624785519084e-01,1.474857123339079035e+00
1.239077171536678013e-01,1.474803988657920950e+00
1.240019434292018163e-01,1.474748086596080254e+00
1.240962413596029268e-01,1.474689167576447080e+00
1.241906109993613921e-01,1.474626954197358897e+00
1.242850524030090359e-01,1.474561136863541178e+00
1.243795656251190096e-01,1.474491368627921073e+00
1.244741507203060982e-01,1.474417259062773544e+00
1.245688077432265672e-01,1.474338366931335020e+00
1.246635367485781909e-01,1.474254191368904676e+00
1.247583377911004043e-01,1.474164161200403722e+00
1.248532109255743039e-01,1.474067621911980819e+00
1.249481562068225221e-01,1.473963819647180706e+00
1.250431736897095192e-01,1.473851881398449137e+00
1.251382634291413332e-01,1.473730790290583181e+00
1.252334254800659130e-01,1.473599354471991418e+00
1.253286598974728550e-01,1.473456167594297872e+00
1.254239667363936661e-01,1.473299558097866280e+00
1.255193460519016535e-01,1.473127523417383067e+00
1.256147978991120073e-01,1.472937643600126689e+00
1.257103223331818564e-01,1.472726966404849458e+00
1.258059194093102962e-01,1.472491852253488664e+00
1.259015891827383049e-01,1.472227761655230616e+00
1.259973317087489664e-01,1.471928958556751876e+00
1.260931470426673029e-01,1.471588088085173274e+00
1.261890352398605530e-01,1.471195561920974892e+00
1.262849963557379218e-01,1.470738640651003015e+00
1.263810304457508304e-01,1.470200023203054540e+00
1.264771375653928609e-01,1.469555604082503297e+00
1.265733177701997003e-01,1.468770763136887592e+00
1.266695711157494741e-01,1.467793930510184586e+00
1.267658976576623020e-01,1.466544766537922539e+00
1.268622974516008528e-01,1.464890847000235752e+00
1.269587705532699839e-01,1.462597290037596975e+00
1.270553170184169078e-01,1.459203901794063674e+00
1.271519369028313307e-01,1.453669781639340464e+00
1.272486302623452581e-01,1.443035216422118072e+00
1.273453971528332451e-01,1.414220812645723857e+00
1.274422376302123405e-01,1.046186328846902880e+00
1.275391517504420313e-01,0.000000000000000000e+00
1.276361395695244372e-01,0.000000000000000000e+00
1.277332011435042269e-01,0.000000000000000000e+00
1.278303365284686743e-01,0.000000000000000000e+00
1.279275457805478244e-01,0.000000000000000000e+00
1.280248289559142161e-01,0.000000000000000000e+00
1.281221861107832427e-01,0.000000000000000000e+00
1.282196173014129859e-01,0.000000000000000000e+00
1.283171225841043261e-01,0.000000000000000000e+00
1.284147020152010266e-01,0.000000000000000000e+00
1.285123556510895659e-01,0.000000000000000000e+00
1.286100835481994165e-01,0.000000000000000000e+00
1.287078857630028217e-01,0.000000000000000000e+00
1.288057623520151851e-01,0.000000000000000000e+00
1.289037133717946815e-01,0.000000000000000000e+00
1.290017388789425901e-01,0.000000000000000000e+00
1.290998389301032667e-01,0.000000000000000000e+00
1.291980135819640330e-01,0.000000000000000000e+00
1.292962628912554257e-01,0.000000000000000000e+00
1.293945869147511141e-01,0.000000000000000000e+00
1.294929857092678438e-01,0.000000000000000000e+00
1.295914593316656593e-01,0.000000000000000000e+00
1.296900078388478206e-01,0.000000000000000000e+00
1.297886312877608583e-01,0.000000000000000000e+00
1.298873297353945466e-01,0.000000000000000000e+00
1.299861032387821247e-01,0.000000000000000000e+00
1.300849518550001582e-01,0.000000000000000000e+00
1.301838756411685116e-01,0.000000000000000000e+00
1.302828746544505978e-01,0.000000000000000000e+00
1.303819489520533226e-01,0.000000000000000000e+00
1.304810985912270016e-01,0.000000000000000000e+00
1.305803236292655267e-01,0.000000000000000000e+00
1.306796241235063660e-01,0.000000000000000000e+00
1.307790001313306194e-01,0.000000000000000000e+00
1.308784517101629075e-01,0.000000000000000000e+00
1.309779789174716491e-01,0.000000000000000000e+00
1.310775818107689505e-01,0.000000000000000000e+00
1.311772604476105775e-01,0.000000000000000000e+00
1.312770148855961494e-01,0.000000000000000000e+00
1.313768451823689454e-01,0.000000000000000000e+00
