Temperatures,+-
-inf,-inf
3.479758195446680524e-01,-5.771716062420358950e-01
3.873451475377904796e-01,-6.284074203694425265e-01
4.137012776718475005e-01,-6.650310939385697395e-01
4.337857429162044198e-01,-6.947526607252666464e-01
4.501015365326111461e-01,-7.203272330995542649e-01
4.638860988396055762e-01,-7.430798427649832893e-01
4.758493410456043349e-01,-7.637587295309186119e-01
4.864383342020321965e-01,-7.828320011746484619e-01
4.959534276629733451e-01,-8.006143599998589711e-01
5.046062613260771101e-01,-8.173292937915878076e-01
5.125517319888840406e-01,-8.331416949017778073e-01
5.199063525346443448e-01,-8.481778204771817098e-01
5.267601156406345186e-01,-8.625362864493301140e-01
5.331840232519525768e-01,-8.762964772960729620e-01
5.392348117676392105e-01,-8.895227661890836579e-01
5.449587111595516342e-01,-9.022689845504021644e-01
5.503938293222927491e-01,-9.145797784786953155e-01
5.555718753275058486e-01,-9.264936629450986061e-01
5.605195684349651986e-01,-9.380433794219719124e-01
5.652596732541823599e-01,-9.492573506716939225e-01
5.698116501995257321e-01,-9.601604173872079206e-01
5.741922902077734037e-01,-9.707746354631269226e-01
5.784162102781993386e-01,-9.811190618117503481e-01
5.824961974534292874e-01,-9.912110640296886155e-01
5.864434656383189504e-01,-1.001065971989589354e+00
5.902679328331418285e-01,-1.010697669266173770e+00
5.939783728401568652e-01,-1.020118833506363565e+00
5.975828396986875291e-01,-1.029340920849831420e+00
6.010881845415367852e-01,-1.038374064359809168e+00
6.045008222872430004e-01,-1.047227918998209439e+00
6.078264785490210542e-01,-1.055911116720862797e+00
6.110703397220654809e-01,-1.064431378570292130e+00
6.142371188067278220e-01,-1.072796762733184472e+00
6.173311115210466937e-01,-1.081013624502138670e+00
6.203562443667738346e-01,-1.089088150973437363e+00
6.233160434986183551e-01,-1.097026478368662739e+00
6.262140016370396634e-01,-1.104833971824632499e+00
6.290530168746677475e-01,-1.112515927653921155e+00
6.318358909359917952e-01,-1.120077031374402843e+00
6.345653632367981301e-01,-1.127521906372655813e+00
6.372436632268116963e-01,-1.134854235882024387e+00
6.398731710145906248e-01,-1.142078235335992398e+00
6.424558241197348973e-01,-1.149197853759841292e+00
6.449937141617545500e-01,-1.156216475115558362e+00
6.474886854976001915e-01,-1.163137341599189023e+00
6.499422749377209430e-01,-1.169963737912845581e+00
6.523561223851880309e-01,-1.176698326097252112e+00
6.547317151657054968e-01,-1.183344053019159015e+00
6.570706180048881961e-01,-1.189903545062831469e+00
6.593738906231885188e-01,-1.196379554942474055e+00
6.616429866285109540e-01,-1.202774317156243500e+00
6.638788635157746310e-01,-1.209090240331370802e+00
6.660828792066567638e-01,-1.215329208206516132e+00
6.682557941835544080e-01,-1.221493449096645367e+00
6.703988475554069071e-01,-1.227585032809746179e+00
6.725128514021879722e-01,-1.233605473803856212e+00
6.745986185670628243e-01,-1.239557020365131823e+00
6.766571839725735726e-01,-1.245441340072422243e+00
6.786890622079646551e-01,-1.251259845266717630e+00
6.806954391755608569e-01,-1.257014337944446947e+00
6.826766009929217116e-01,-1.262706247815480909e+00
6.846335709624070676e-01,-1.268336821836452133e+00
6.865668006369732845e-01,-1.273907973803906302e+00
6.884768441701185626e-01,-1.279420923672226262e+00
6.903647401783201687e-01,-1.284876486486694835e+00
6.922305306756628696e-01,-1.290276100375426171e+00
6.940751482816049922e-01,-1.295621554022841737e+00
6.958989745853434439e-01,-1.300913184318482241e+00
6.977025172173402234e-01,-1.306152612153355097e+00
6.994861729014471008e-01,-1.311341142805779070e+00
7.012506007519465623e-01,-1.316479124485714580e+00
7.029961709311631779e-01,-1.321567945829577262e+00
7.047232495449210488e-01,-1.326608730707182993e+00
7.064321523584140561e-01,-1.331602208512576935e+00
7.081237077886758380e-01,-1.336549505945886285e+00
7.097978694804633060e-01,-1.341450863870239818e+00
7.114551504152265560e-01,-1.346308068885129661e+00
7.130959064618147547e-01,-1.351121119845205554e+00
7.147203628187671631e-01,-1.355891272775554990e+00
7.163290598456848457e-01,-1.360619188747910879e+00
7.179223509135365111e-01,-1.365305758176124096e+00
7.195002002138772834e-01,-1.369951166696876887e+00
7.210631099434713365e-01,-1.374556943073781623e+00
7.226114176447783199e-01,-1.379123092066671941e+00
7.241454842119876556e-01,-1.383650369335950536e+00
7.256652056036099196e-01,-1.388139490772830387e+00
7.271711110078377116e-01,-1.392591253891525938e+00
7.286635373944456706e-01,-1.397006159631704048e+00
7.301424146829290640e-01,-1.401384110292497986e+00
7.316082016442223557e-01,-1.405726963359720916e+00
7.330611768772512526e-01,-1.410034252305167657e+00
7.345013177400600002e-01,-1.414306966301307700e+00
7.359290962259905644e-01,-1.418545596513105966e+00
7.373445461133494305e-01,-1.422750442005020100e+00
7.387477872082650610e-01,-1.426922068762267015e+00
7.401394357037732741e-01,-1.431061300007209880e+00
7.415191498461887187e-01,-1.435168014129107883e+00
7.428875129824420442e-01,-1.439243273156477265e+00
7.442446054446731907e-01,-1.443286826743800599e+00
7.455904721808492841e-01,-1.447299863324575275e+00
7.469252543934014055e-01,-1.451282330119181063e+00
7.482494346411436847e-01,-1.455234767140342500e+00
7.495629359576863049e-01,-1.459157657672077280e+00
7.508658559349594697e-01,-1.463051356761871258e+00
7.521585403202920572e-01,-1.466916044003444775e+00
7.534409527568610709e-01,-1.470752397473650941e+00
7.547134406713935650e-01,-1.474561108078029426e+00
7.559759767296584387e-01,-1.478341479541357195e+00
7.572287038147109683e-01,-1.482094913416539761e+00
7.584719284359376923e-01,-1.485821028955643053e+00
7.597056053483999261e-01,-1.489520719808597571e+00
7.609299233975558296e-01,-1.493194441318291599e+00
7.621450603914535771e-01,-1.496841262259299921e+00
7.633510721849454672e-01,-1.500462952855832421e+00
7.645480118763480215e-01,-1.504059546902285716e+00
7.657362472899851280e-01,-1.507630568824512851e+00
7.669157163644180208e-01,-1.511177170973679651e+00
7.680863971766751508e-01,-1.514699353702378515e+00
7.692486964320153220e-01,-1.518197137253152196e+00
7.704025923552380029e-01,-1.521671358838758481e+00
7.715481657871243737e-01,-1.525121871052588896e+00
7.726856532937733668e-01,-1.528548860192415759e+00
7.738147920319784490e-01,-1.531953044565457223e+00
7.749362121385541258e-01,-1.535334297483271992e+00
7.760496290897355154e-01,-1.538692958668464783e+00
7.771552239441293919e-01,-1.542029673824663494e+00
7.782529623633688276e-01,-1.545344092056408547e+00
7.793433853654858634e-01,-1.548636792748721458e+00
7.804260819921210457e-01,-1.551907982282139109e+00
7.815012949273493215e-01,-1.555157776002584979e+00
7.825694125020383751e-01,-1.558386598473312956e+00
7.836299901372001386e-01,-1.561594408476300266e+00
7.846835310545428044e-01,-1.564781627421550692e+00
7.857300393131643190e-01,-1.567948723140324851e+00
7.867694629176148480e-01,-1.571095398303693269e+00
7.878018246518830869e-01,-1.574222189831642638e+00
7.888275357598684145e-01,-1.577329416340545576e+00
7.898463200200093182e-01,-1.580416825709652251e+00
7.908584532128045685e-01,-1.583484536115546515e+00
7.918639421089685992e-01,-1.586533174045000605e+00
7.928627254787828926e-01,-1.589563568774413627e+00
7.938551492775823837e-01,-1.592574348969243214e+00
7.948412591711525588e-01,-1.595566675118272215e+00
7.958207535284357315e-01,-1.598541108485540541e+00
7.967942305883310983e-01,-1.601496556312710151e+00
7.977613398639475939e-01,-1.604434404043447726e+00
7.987222319026729966e-01,-1.607353828706998611e+00
7.996771200156463921e-01,-1.610255935286882156e+00
8.006259135307721708e-01,-1.613140354524003728e+00
8.015687227432369832e-01,-1.616007616546639047e+00
8.025056064774378495e-01,-1.618857053223117459e+00
8.034366226032475522e-01,-1.621689775109826703e+00
8.043618280589915903e-01,-1.624505450820999064e+00
8.052812788737400140e-01,-1.627303948045782711e+00
8.061948671119102405e-01,-1.630086112234570228e+00
8.071029971364301892e-01,-1.632851761732701190e+00
8.080056505724068083e-01,-1.635601215685998033e+00
8.089025997107557320e-01,-1.638334071527013380e+00
8.097941132333857928e-01,-1.641051098269962871e+00
8.106801646644160586e-01,-1.643752087588911115e+00
8.115608297980290153e-01,-1.646436966497921928e+00
8.124361582460578601e-01,-1.649106524712082855e+00
8.133061160971641890e-01,-1.651760365100792605e+00
8.141709993330681350e-01,-1.654398540057336664e+00
8.150306144522432295e-01,-1.657021767059788209e+00
8.158849867764904618e-01,-1.659629693340290757e+00
8.167344186358652669e-01,-1.662222451691816039e+00
8.175787194164393368e-01,-1.664800298515134225e+00
8.184179688199660907e-01,-1.667363688726362980e+00
8.192523667926264741e-01,-1.669912335080797838e+00
8.200817752251626791e-01,-1.672446199791582488e+00
8.209063138015404437e-01,-1.674965662556080037e+00
8.217258646419440815e-01,-1.677470615784891539e+00
8.225408945909528091e-01,-1.679961507338083138e+00
8.233510293542147807e-01,-1.682438142483502874e+00
8.241563172891099853e-01,-1.684900745353824503e+00
8.249570464092211841e-01,-1.687349703997250483e+00
8.257531577678017820e-01,-1.689784692306952163e+00
8.265447469251475665e-01,-1.692206422970518043e+00
8.273318008074478369e-01,-1.694613566266764959e+00
8.281142391604934261e-01,-1.697008029522218076e+00
8.288921811755037838e-01,-1.699389203978329599e+00
8.296656428231496960e-01,-1.701756519147460844e+00
8.304347835827434743e-01,-1.704111154388794791e+00
8.311994930302391005e-01,-1.706452242631970595e+00
8.319598577591094113e-01,-1.708780360852719893e+00
8.327159118854362552e-01,-1.711095848512594220e+00
8.334676890965584395e-01,-1.713398255659041469e+00
8.342152069419344063e-01,-1.715688063052983381e+00
8.349585454271357676e-01,-1.717965652348186545e+00
8.356976710193463331e-01,-1.720229852401626847e+00
