Temperatures,+-
-inf,-inf
3.479758195446680524e-01,-5.771716062420358950e-01
3.873439600798089244e-01,-6.284057554880095875e-01
4.136987002185448237e-01,-6.650271919247530139e-01
4.337816794885094862e-01,-6.947460135645325829e-01
4.500959509343271936e-01,-7.203173802055422570e-01
4.638789390162350035e-01,-7.430666537582525377e-01
4.758405877038157650e-01,-7.637416864817770934e-01
4.864279638222869240e-01,-7.828108311377178774e-01
4.959414180126944793e-01,-8.005888860665087980e-01
5.045926224563922480e-01,-8.172991464328884792e-01
5.125363784985781379e-01,-8.331069697166054722e-01
5.198892978032819689e-01,-8.481380666749916974e-01
5.267413805220662049e-01,-8.624913225849764054e-01
5.331635268809334915e-01,-8.762460037604000718e-01
5.392125425200801070e-01,-8.894667630995766183e-01
5.449346051591619222e-01,-9.022071872132675363e-01
5.503679113954573765e-01,-9.145121533068247821e-01
5.555441192367162051e-01,-9.264199577622226345e-01
5.604899522201586270e-01,-9.379635728742495848e-01
5.652281231676624662e-01,-9.491713035379839569e-01
5.697782951069904067e-01,-9.600678325552742809e-01
5.741570314970902977e-01,-9.706754106059870546e-01
5.783790241588718795e-01,-9.810130614819912998e-01
5.824570404107508592e-01,-9.910981886833122312e-01
5.864023323893307049e-01,-1.000946122432706753e+00
5.902248094372395393e-01,-1.010571128760780590e+00
5.939332138935929928e-01,-1.019984962971813403e+00
5.975356594679663846e-01,-1.029199857485232128e+00
6.010389806598467333e-01,-1.038225632415822108e+00
6.044495668919501741e-01,-1.047072060512022063e+00
6.077731573207304505e-01,-1.055747825988831989e+00
6.110149199559585798e-01,-1.064260713518639045e+00
6.141796251454900712e-01,-1.072618434130073295e+00
6.172715197493655603e-01,-1.080827431158359886e+00
6.202944997707402486e-01,-1.088894398511879302e+00
6.232522700081609690e-01,-1.096825055389279768e+00
6.261480078236274505e-01,-1.104624726768574705e+00
6.289849037008024002e-01,-1.112298769162574308e+00
6.317656528516600867e-01,-1.119851855766814674e+00
6.344928174502331153e-01,-1.127288368442428190e+00
6.371690067977252570e-01,-1.134612916484819545e+00
6.397962307368466606e-01,-1.141829026980410999e+00
6.423768207714700695e-01,-1.148940473208495128e+00
6.449125243241231598e-01,-1.155950700796973818e+00
6.474052449293992151e-01,-1.162863452725453106e+00
6.498566062197714821e-01,-1.169681566345519119e+00
6.522682688859077205e-01,-1.176407676371832745e+00
6.546415875893917269e-01,-1.183045183084407537e+00
6.569782252303818515e-01,-1.189596626683576908e+00
6.592792968057358260e-01,-1.196064290754232706e+00
6.615461249818782585e-01,-1.202450755881879330e+00
6.637798410055804066e-01,-1.208757929165954925e+00
6.659814905018662801e-01,-1.214988497270237389e+00
6.681521477637076822e-01,-1.221144236705141939e+00
6.702928690551881452e-01,-1.227227251736867641e+00
6.724045432863954286e-01,-1.233239155978167245e+00
6.744881518743590654e-01,-1.239182305635875947e+00
6.765443559892395653e-01,-1.245057705866923659e+00
6.785740307857750508e-01,-1.250867444878896340e+00
6.805779788475518899e-01,-1.256613387999895970e+00
6.825568856338432022e-01,-1.262296429047232937e+00
6.845114368006319783e-01,-1.267918392319244081e+00
6.864423095859537582e-01,-1.273480790000333984e+00
6.883502012789484148e-01,-1.278984851544537893e+00
6.902355245951408147e-01,-1.284431496735135125e+00
6.920991529888130822e-01,-1.289822673052354540e+00
6.939413808812798790e-01,-1.295159114120509214e+00
6.957628230026042804e-01,-1.300442108383277118e+00
6.975640092226573774e-01,-1.305672846325166780e+00
6.993453144633570151e-01,-1.310852057105784008e+00
7.011073990742133777e-01,-1.315980970314936105e+00
7.028504515425139099e-01,-1.321061324723126651e+00
7.045751671871915978e-01,-1.326093318790715569e+00
7.062819102173927277e-01,-1.331077444374147323e+00
7.079710137237231748e-01,-1.336015776697000446e+00
7.096428120565130282e-01,-1.340908492767337146e+00
7.112977281079591041e-01,-1.345756750286048575e+00
7.129360815491795345e-01,-1.350560795034393635e+00
7.145582038830814442e-01,-1.355322300044440542e+00
7.161645779099988784e-01,-1.360041043217495860e+00
7.177553501755163934e-01,-1.364718520084636566e+00
7.193309226265144352e-01,-1.369355276606639027e+00
7.208914920422612171e-01,-1.373951688796605675e+00
7.224372763017519183e-01,-1.378508796307843287e+00
7.239688550796317124e-01,-1.383027005706903179e+00
7.254861429027359421e-01,-1.387506793778720660e+00
7.269897073407777244e-01,-1.391949300222153907e+00
7.284795518843979467e-01,-1.396355075957821157e+00
7.299560242647090691e-01,-1.400724216562243996e+00
7.314194488213230372e-01,-1.405057459320275592e+00
7.328699694438652879e-01,-1.409355910013356361e+00
7.343076809985452647e-01,-1.413619289866794526e+00
7.357328930008240064e-01,-1.417848626310067361e+00
7.371459670224519423e-01,-1.422044159627182891e+00
7.385468034051191344e-01,-1.426206201672912011e+00
7.399359102029948732e-01,-1.430336194884160417e+00
7.413132776718882599e-01,-1.434433784747086271e+00
7.426791131349450570e-01,-1.438499251676052637e+00
7.440336098201766335e-01,-1.442533755951256769e+00
7.453770154599413944e-01,-1.446537490952985339e+00
7.467094787137625866e-01,-1.450510558903421954e+00
7.480310915137485805e-01,-1.454453827233603169e+00
7.493419665161710208e-01,-1.458367256596467376e+00
7.506425426838855275e-01,-1.462251522109865309e+00
7.519326085947333205e-01,-1.466107239804622209e+00
7.532126202323803366e-01,-1.469934028893312483e+00
7.544825934349415064e-01,-1.473732799466376253e+00
7.557426336700608926e-01,-1.477504279326371961e+00
7.569929222789535395e-01,-1.481248111389422473e+00
7.582335476235664284e-01,-1.484964948186485056e+00
7.594647898605255687e-01,-1.488655079817243765e+00
7.606865703367572396e-01,-1.492319154146619642e+00
7.618991506648563616e-01,-1.495957144064590238e+00
7.631027249237748444e-01,-1.499568903044622870e+00
7.642973270708819378e-01,-1.503155963500838688e+00
7.654829450133168178e-01,-1.506717922148207212e+00
7.666599713054822463e-01,-1.510255157704360585e+00
7.678282260656088543e-01,-1.513768151455308297e+00
7.689879513569306546e-01,-1.517256465319509751e+00
7.701394282839191252e-01,-1.520721353276311749e+00
7.712826211278650534e-01,-1.524162315847600313e+00
7.724175063535175800e-01,-1.527580173130284047e+00
7.735443606777007153e-01,-1.530974711055629323e+00
7.746631265826963153e-01,-1.534346992473377913e+00
7.757740986696279872e-01,-1.537696370210702934e+00
7.768772683686157032e-01,-1.541023832554128115e+00
7.779727050705548264e-01,-1.544329147382166756e+00
7.790605309471738682e-01,-1.547612434785001989e+00
7.801407989681591326e-01,-1.550874248518558929e+00
7.812136218313568969e-01,-1.554115157537022895e+00
7.822792397989161151e-01,-1.557334381673001866e+00
7.833373639152393375e-01,-1.560533197728993571e+00
7.843885608111158536e-01,-1.563711597505445861e+00
7.854324769113467664e-01,-1.566869128225116814e+00
7.864694628625790163e-01,-1.570006776546333249e+00
7.874996487939542877e-01,-1.573124695871135348e+00
7.885228475381805824e-01,-1.576221974106729151e+00
7.895392665491741679e-01,-1.579300669232703180e+00
7.905488838613399238e-01,-1.582359500583849554e+00
7.915519258000698333e-01,-1.585399297820579312e+00
7.925485857889620345e-01,-1.588420334055983485e+00
7.935384941440529749e-01,-1.591422445452533196e+00
7.945221720468068627e-01,-1.594405549258097521e+00
7.954994788179630127e-01,-1.597370864817295288e+00
7.964704248019862654e-01,-1.600317484479389707e+00
7.974351509022966633e-01,-1.603246122715114907e+00
7.983935731107777434e-01,-1.606156670544317544e+00
7.993461043972347468e-01,-1.609049726169715644e+00
8.002925808964264087e-01,-1.611924915496842692e+00
8.012329820340596820e-01,-1.614783464242431910e+00
8.021675172849213054e-01,-1.617624012811884837e+00
8.030960169157793649e-01,-1.620447600893780704e+00
8.040189162884581187e-01,-1.623254295028927041e+00
8.049360656556646676e-01,-1.626043985862325014e+00
8.058474455646286172e-01,-1.628817451793739268e+00
8.067531820410056564e-01,-1.631573965368069867e+00
8.076533286062170802e-01,-1.634314190350473428e+00
8.085479270236685112e-01,-1.637038528243889068e+00
8.094370619691682034e-01,-1.639746170963540806e+00
8.103206210742678328e-01,-1.642438139224561500e+00
8.111990247002862642e-01,-1.645114518669178238e+00
8.120719356317324111e-01,-1.647775139740386585e+00
8.129396622973819042e-01,-1.650419982626445847e+00
8.138021637129241315e-01,-1.653049601736748864e+00
8.146594222974061772e-01,-1.655663586441849189e+00
8.155113772373734360e-01,-1.658263138688108373e+00
8.163584753355965784e-01,-1.660846857419729705e+00
8.172004877010641266e-01,-1.663416129436285251e+00
8.180374808079037274e-01,-1.665970835278958173e+00
8.188694767808351038e-01,-1.668510284180666492e+00
8.196965531894667700e-01,-1.671034961129599816e+00
8.205186624530157458e-01,-1.673546135314117889e+00
8.213361182196523558e-01,-1.676042243167161994e+00
8.221486853190185240e-01,-1.678524325590756705e+00
8.229565118523890499e-01,-1.680992100259754984e+00
8.237596218213231181e-01,-1.683446293364743829e+00
8.245580599364074059e-01,-1.685886542098538055e+00
8.253517959621571309e-01,-1.688312779261726515e+00
8.261409893380636804e-01,-1.690725354150792503e+00
8.269257250810851945e-01,-1.693124620272686842e+00
8.277057714092723728e-01,-1.695510031933676887e+00
8.284814718244218890e-01,-1.697882225584092186e+00
8.292526974460059375e-01,-1.700241358245771384e+00
8.300194811155783281e-01,-1.702587062009641272e+00
8.307817646197432904e-01,-1.704919314559945498e+00
8.315399488674087847e-01,-1.707238811995662964e+00
8.322937017513258873e-01,-1.709545763115497774e+00
8.330431791205596959e-01,-1.711839644474084432e+00
8.337884297869527783e-01,-1.714120875288456025e+00
8.345293969567265657e-01,-1.716389480690981406e+00
8.352662217581650062e-01,-1.718645186814415693e+00
