Temperatures,410->211/402->201
1.000000000000000056e-01,0.000000000000000000e+00
1.000760455262178356e-01,3.966620545909203432e+00
1.001521488816562722e-01,3.966018171674152271e+00
1.002283101102918045e-01,3.965816956114735170e+00
1.003045292561344365e-01,3.965715942200735977e+00
1.003808063632275899e-01,3.965654986620730682e+00
1.004571414756482151e-01,3.965614047993062385e+00
1.005335346375067912e-01,3.965584538495896982e+00
1.006099858929472707e-01,3.965562164477887563e+00
1.006864952861472873e-01,3.965544540528235462e+00
1.007630628613179341e-01,3.965530235248109658e+00
1.008396886627040273e-01,3.965518337557316642e+00
1.009163727345840367e-01,3.965508239865147555e+00
1.009931151212700023e-01,3.965499521323272880e+00
1.010699158671077846e-01,3.965491881116028683e+00
1.011467750164768420e-01,3.965485098435696631e+00
1.012236926137904947e-01,3.965479007467304751e+00
1.013006687034957998e-01,3.965473481202129058e+00
1.013777033300735653e-01,3.965468420646295566e+00
1.014547965380385025e-01,3.965463747436624775e+00
1.015319483719390875e-01,3.965459398671088653e+00
1.016091588763577414e-01,3.965455323215569372e+00
1.016864280959108163e-01,3.965451479017110259e+00
1.017637560752484710e-01,3.965447831117254296e+00
1.018411428590549478e-01,3.965444350161204667e+00
1.019185884920483787e-01,3.965441011263897586e+00
1.019960930189809517e-01,3.965437793136813660e+00
1.020736564846388972e-01,3.965434677407859265e+00
1.021512789338424182e-01,3.965431648085940175e+00
1.022289604114459405e-01,3.965428691135238548e+00
1.023067009623378487e-01,3.965425794133468518e+00
1.023845006314407918e-01,3.965422945995070947e+00
1.024623594637114610e-01,3.965420136745005930e+00
1.025402775041408532e-01,3.965417357332313042e+00
1.026182547977541326e-01,3.965414599475098889e+00
1.026962913896106444e-01,3.965411855530550866e+00
1.027743873248041090e-01,3.965409118384934928e+00
1.028525426484624139e-01,3.965406381359660504e+00
1.029307574057478497e-01,3.965403638130251540e+00
1.030090316418570823e-01,3.965400882655722548e+00
1.030873654020210278e-01,3.965398109116333725e+00
1.031657587315051305e-01,3.965395311858042060e+00
1.032442116756091266e-01,3.965392485342301487e+00
1.033227242796672940e-01,3.965389624100051247e+00
1.034012965890483970e-01,3.965386722688903909e+00
1.034799286491556031e-01,3.965383775652723042e+00
1.035586205054267184e-01,3.965380777482816921e+00
1.036373722033340078e-01,3.965377722580116338e+00
1.037161837883843751e-01,3.965374605217694803e+00
1.037950553061193354e-01,3.965371419503100459e+00
1.038739868021149593e-01,3.965368159339897058e+00
1.039529783219821091e-01,3.965364818387899337e+00
1.040320299113661612e-01,3.965361390021533872e+00
1.041111416159473668e-01,3.965357867285729032e+00
1.041903134814406301e-01,3.965354242848736277e+00
1.042695455535956051e-01,3.965350508951178465e+00
1.043488378781968068e-01,3.965346657350610649e+00
1.044281905010634726e-01,3.965342679260728698e+00
1.045076034680497701e-01,3.965338565284312278e+00
1.045870768250447280e-01,3.965334305338796383e+00
1.046666106179721806e-01,3.965329888573242645e+00
1.047462048927910172e-01,3.965325303275254232e+00
