Temperatures,+-,Metastables,+-
2.883242279198530014e+02,4.892100174386717981e+01,9.225225668409715000e+14,6.669323111848150000e+13
3.597685519288169189e+02,4.190213982645843771e+01,1.104705143933919125e+15,5.499182762620157812e+13
2.731019616022606442e+02,3.482938117651250565e+01,9.550949556185092500e+14,5.189413632624165625e+13
2.858403990781175139e+02,4.217834059233199184e+01,9.591299523175230000e+14,6.032247279020988281e+13
3.229249010032635283e+02,4.666389658371751636e+01,9.354972416006600000e+14,5.765821216913986719e+13
2.774243034234199285e+02,3.049148093722755704e+01,8.968338940693767500e+14,4.197786690794953125e+13
3.361481745569951158e+02,3.713823785440882830e+01,1.031984230212654250e+15,4.868105860629807031e+13
3.444414400573484727e+02,4.296855162940249073e+01,9.867319957365342500e+14,5.254718665021003906e+13
3.339508195797473604e+02,5.031459110244992416e+01,9.056515040810945000e+14,5.819642967461910156e+13
2.343507459480071873e+02,3.561147499161580043e+01,8.445566580974373750e+14,5.454286097888828125e+13
3.364649556265924844e+02,4.989437716776990328e+01,9.021064706666753750e+14,5.705758042357912500e+13
3.655724092467588662e+02,6.582474988368446134e+01,8.848135733198835000e+14,6.798184934090754688e+13
3.219806825691278505e+02,5.142790824114232606e+01,9.330941960682947500e+14,6.356418704290154688e+13
2.974841232856335296e+02,4.364821870292645656e+01,9.700177916121918750e+14,6.068188707854123438e+13
3.074153307230691325e+02,4.632638131465132147e+01,9.584646339610811250e+14,6.159369740963222656e+13
2.550182010338205885e+02,3.631443017454900968e+01,9.475278858887901250e+14,5.744806463060707031e+13
2.726009813808111062e+02,3.544360624257238612e+01,9.647358092453736250e+14,5.344654040385055469e+13
2.883830916285787112e+02,3.981029514928638235e+01,9.977200538255887500e+14,5.872063938949275000e+13
3.442152476449679170e+02,4.750767266367937225e+01,9.699131511235621250e+14,5.713672524626050000e+13
3.245129698509272771e+02,4.301172756298780087e+01,9.648112139436107500e+14,5.455676321860725000e+13
3.705024858388695179e+02,4.645699851835325944e+01,9.927723422649845000e+14,5.316503437300725781e+13
2.905169860228783136e+02,4.709313865922538866e+01,9.484392887467221250e+14,6.552838009307285938e+13
3.675106643179349248e+02,4.812198562390922518e+01,1.036477364987995625e+15,5.798108312606468750e+13
2.912644478305987832e+02,4.247765700559306623e+01,9.294721849315022500e+14,5.776684165164803906e+13
3.174308385237379753e+02,4.771429587788134796e+01,8.994607628288240000e+14,5.763679082107425000e+13
2.864848734006431528e+02,4.054274704451958655e+01,1.005255421006192875e+15,6.065896603770741406e+13
2.720273337655649470e+02,3.454740443314697984e+01,9.382474409507612500e+14,5.075782244047373438e+13
2.835999552355623905e+02,3.776143890219965016e+01,8.938921244416973750e+14,5.069693682793245312e+13
3.172879447803628636e+02,4.882303070607249396e+01,8.577954310180495000e+14,5.624736374980860938e+13
3.518325408157953120e+02,5.573493306538185976e+01,9.979928242697448750e+14,6.750034253339804688e+13
3.208940030715655780e+02,5.064748309938092063e+01,8.984167349036418750e+14,6.045946074431231250e+13
3.162170234756002287e+02,3.906188201088406942e+01,9.484241522079181250e+14,4.996952497676787500e+13
3.365487388910335653e+02,4.372526703319559260e+01,9.122866842144032500e+14,5.055896260784347656e+13
3.258476795636032080e+02,5.147630054806461430e+01,9.407571363284766250e+14,6.339298254441033594e+13
3.125874924305737750e+02,5.341755594818052089e+01,9.811928093848680000e+14,7.152150443767026562e+13
2.792079153030356906e+02,3.565439870979821535e+01,9.279031263846408750e+14,5.047828464539597656e+13
