Energy (eV),Cross Section (m^2)
1.000000000000000021e-03,6.751047376232041333e-20
1.149756995397735633e-03,6.750936177277688947e-20
1.321941148466028622e-03,6.750808329823346060e-20
1.519911082952933243e-03,6.750661342030573438e-20
1.747528400007682938e-03,6.750492349338325368e-20
2.009233002565048026e-03,6.750298058789150244e-20
2.310129700083160455e-03,6.750074685064197761e-20
2.656087782946686768e-03,6.749817877000206883e-20
3.053855508833415357e-03,6.749522633182825006e-20
3.511191734215130845e-03,6.749183205006280787e-20
4.037017258596553408e-03,6.748792985356812067e-20
4.641588833612782412e-03,6.748344380812185783e-20
5.336699231206312212e-03,6.747828664948650418e-20
6.135907273413176120e-03,6.747235810005074949e-20
7.054802310718645032e-03,6.746554293767468874e-20
8.111308307896872294e-03,6.745770878100758450e-20
9.326033468832199691e-03,6.744870355063519556e-20
1.072267222010323158e-02,6.743835255990857357e-20
1.232846739442065853e-02,6.742645518315832422e-20
1.417474162926805545e-02,6.741278104217437440e-20
1.629750834620644420e-02,6.739706564430199605e-20
1.873817422860384052e-02,6.737900539726539627e-20
2.154434690031884619e-02,6.735825191690596533e-20
2.477076355991711387e-02,6.733440553447515097e-20
2.848035868435801893e-02,6.730700790008449765e-20
3.274549162877728181e-02,6.727553356859493306e-20
3.764935806792467365e-02,6.723938044395379967e-20
4.328761281083059326e-02,6.719785894824387436e-20
4.977023564332111460e-02,6.715017977318288878e-20
5.722367659350217212e-02,6.709544006547054111e-20
6.579332246575682330e-02,6.703260789453825644e-20
7.564633275546291113e-02,6.696050485369034142e-20
8.697490026177834288e-02,6.687778665568458759e-20
1.000000000000000056e-01,6.678292160455920641e-20
1.149756995397735598e-01,6.667416686092949473e-20
1.321941148466028726e-01,6.654954247307552365e-20
1.519911082952933035e-01,6.640680322718705761e-20
1.747528400007684890e-01,6.624340848479496642e-20
2.009233002565047888e-01,6.605649033286674061e-20
2.310129700083160265e-01,6.584282058292142200e-20
2.656087782946686682e-01,6.559877743170220121e-20
3.053855508833415722e-01,6.532031294995266899e-20
3.511191734215131088e-01,6.500292300972002771e-20
4.037017258596553582e-01,6.464162180405145996e-20
4.641588833612781961e-01,6.423092376037838144e-20
5.336699231206312177e-01,6.376483639519655451e-20
6.135907273413175878e-01,6.323686848237315539e-20
7.054802310718645275e-01,6.264005876715213149e-20
8.111308307896872849e-01,6.196703127737693905e-20
9.326033468832198858e-01,6.121008394576637060e-20
1.072267222010323096e+00,6.036131759548176813e-20
1.232846739442065909e+00,5.941281213490530246e-20
1.417474162926804837e+00,5.835685578665951705e-20
1.629750834620645072e+00,5.718623104177164396e-20
1.873817422860384996e+00,5.589455749734799906e-20
2.154434690031884259e+00,5.447668660324803946e-20
2.477076355991711498e+00,5.292913658904609555e-20
2.848035868435801810e+00,5.125054774332707579e-20
3.274549162877728570e+00,4.944212945781288920e-20
3.764935806792467421e+00,4.750806218757055286e-20
4.328761281083061796e+00,4.545581131465445865e-20
4.977023564332113459e+00,4.329630769196657557e-20
5.722367659350219959e+00,4.104395314213773062e-20
6.579332246575682497e+00,3.871641954854459092e-20
7.564633275546290392e+00,3.633422742856195724e-20
8.697490026177835176e+00,3.392011253801666527e-20
1.000000000000000000e+01,3.149821408704526705e-20
1.149756995397735615e+01,2.909314140359846658e-20
1.321941148466028793e+01,2.672899297959666366e-20
1.519911082952933157e+01,2.442840926613074969e-20
1.747528400007682947e+01,2.221173668952592539e-20
2.009233002565045823e+01,2.009636583196952263e-20
2.310129700083157900e+01,1.809628442769075076e-20
2.656087782946689302e+01,1.622186002405855782e-20
3.053855508833418497e+01,1.447984237001208953e-20
3.511191734215134375e+01,1.287355554838970865e-20
4.037017258596557667e+01,1.140323679808766624e-20
4.641588833612782139e+01,1.006647343040494360e-20
5.336699231206312533e+01,8.858690367317309863e-21
6.135907273413175744e+01,7.773646863688817498e-21
7.054802310718645231e+01,6.803909856924090104e-21
8.111308307896872805e+01,5.941281213490527688e-21
9.326033468832198992e+01,5.177165453518706292e-21
1.072267222010323167e+02,4.502872414952747040e-21
1.232846739442065882e+02,3.909855350009483870e-21
1.417474162926804695e+02,3.389889094586239317e-21
1.629750834620643332e+02,2.935195426204232194e-21
1.873817422860383033e+02,2.538523859809837084e-21
2.154434690031886532e+02,2.193196283912915876e-21
2.477076355991713967e+02,1.893123343449951517e-21
2.848035868435804900e+02,1.632799603165773434e-21
3.274549162877731874e+02,1.407283481831167239e-21
3.764935806792471453e+02,1.212166875883207101e-21
4.328761281083061476e+02,1.043538381143105108e-21
4.977023564332113779e+02,8.979431229298786999e-22
5.722367659350220492e+02,7.723414393566064413e-22
6.579332246575681893e+02,6.640680322718701172e-22
7.564633275546290179e+02,5.707926963225735044e-22
8.697490026177833897e+02,4.904833442379245200e-22
1.000000000000000000e+03,4.213717487224157986e-22
